,Unnamed: 0,句子,字,释义,正确选项（填序号）：
1360,2896,夫焉有所倚？肫肫其仁！渊渊其渊！浩浩其天！苟不固聪明圣知达天德者，其孰能知之？《诗》曰：“衣锦【尚】絅”，恶其文之著也,尚,"1、<动>尊崇；崇尚；爱好
<例句：臣欲使士大夫尊尚武勇。>
<例句：宣德间，宫中尚促织之戏。>
2、<动>高出；超出
<例句：好仁者无以尚之。>
3、<动>与地位比自己高的人婚配
<例句：平阳侯曹寿尚武帝妹阳信长公主。>
4、<形>自高自大
<例句：虽才高于世，而无骄尚之情。>
5、<副>尚且
<例句：臣以为布衣之交尚不相欺，况大国乎？>
6、<副>还
<例句：盖余所至，比好游者尚不能十一，然视其左右，来而记之者已少。>
",
34,1570,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人【则】四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",
511,2047,祸福将至，善，必先知【之】；不善，必先知之,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",
456,1992,曲能有诚，诚则【形】，形则著，著则明，明则动，动则变，变则化,形,"1、<名>形体
<例句：既自以心为形役，奚惆怅而独悲。>
2、<名>容貌
<例句：颜色憔悴，形容枯槁。>
3、<名>形象；形状
<例句：泄于目，目见其形。>
4、<名>形势
<例句：则荆吴之势强，鼎足之形成矣。>
5、<动>表露；表现
<例句：往借，不与，归而形诸梦。>
6、<名>表现出的现象
<例句：不为者与不能者之形，何以异？>
7、<动>对比
<例句：难易相成，长短相形。>
",
1308,2844,唯【天】下至诚，为能经纶天下之大经，立天下之大本，知天地之化育,天,"1、<名>天空
<例句：是日也，天朗气清，惠风和畅。>
<例句：其容清明，天高日晶。>
<例句：天似穹庐，笼盖四野。>
2、<名>天气；气候
<例句：可怜身上衣正单，心忧炭贱愿天寒。>
3、<名>自然；本性
<例句：依乎天理，批大郤，导大窾。>
4、<名>古代人们想像中万事万物的主宰者
<例句：秦违蹇叔而以贪勤民，天奉我也。>
<例句：隘而不列，天赞我也。>
<例句：此天亡我也，非战之罪也。>
5、<名>人们赖以生存的人物
<例句：王者以民人为天，而民人以食为天。>
",
82,1618,所以修身也；去谗远色，贱货而贵德，所以劝贤也；尊其位，重其禄，同其好恶，所以劝【亲】亲也；官盛任使，所以劝大臣也；忠信重禄，所以劝士也；时使薄敛，所以劝百姓也；日省月试，既廪称事，所以劝百工也；送往迎来，嘉善而矜不能，所以柔远人也；继绝世，举废国，治乱持危,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",
399,1935,唯天下至诚，为【能】尽其性；能尽其性，则能尽人之性；能尽人之性，则能尽物之性；能尽物之性，则可以赞天地之化育；可以赞天地之化育，则可以与天地参矣,能,"1、<名>能力；才能
<例句：上官大夫与之同列，争宠而心害其能。>
2、<形>有能力
<例句：试用于昔日，先帝称之曰能。>
3、<名>有能力的人
<例句：招贤进能，显岩穴之士。>
4、<动>能够；能够达到
<例句：假舟楫也，非能水也，而绝江河。>
5、<动>及；达
<例句：盖余所及，比好游者尚不能十一。>
6、<代>通“恁”
<例句：南村群童欺我老无力，忍能对面为盗贼。>
7、<动>通“耐”
<例句：此物能寒，法当较今尤茂。>
",
993,2529,王天下有三重焉，其寡过矣乎！上焉者虽善无徵，【无】徵不信，不信民弗从；下焉者虽善不尊，不尊不信，不信民弗从,无,"1、<动>没有
<例句：黔无驴，有好事者船载以入。>
2、<副>不；别
<例句：硕鼠硕鼠，无食我麦。>
3、<连>不论；无论
<例句：是故无贵无贱，无长无少，道之所存师之所存也。>
4、<形>贫穷；无资财
<例句：礼生于有而废于无。>
",
1502,3038,《诗》云：“【予】怀明德，不大声以色,予,"1、<代>我
<例句：他人有心，予忖度之。>
2、<动>给予
<例句：子孙视之不甚惜，举以予人，如弃草芥。>
3、<动>赞许
<例句：言音者予师旷。>
<例句：吾>
4、<代>我
<例句：他人有心，予忖度之。>
5、<动>给予
<例句：子孙视之不甚惜，举以予人，如弃草芥。>
6、<动>赞许
<例句：言音者予师旷。>
<例句：吾>
",
483,2019,【国】家将兴，必有祯祥；国家将亡，必有妖孽,国,"1、<名>国家
<例句：故治国无法则乱。>
2、<名>周代诸侯国以及汉以后侯王的封地
<例句：察邻国之政，无如寡人用心者。>
3、<名>国都；京都
<例句：武夫力而拘诸原，妇人暂而免诸国。>
<例句：则有去国怀乡，忧谗畏讥。>
4、<名>地方；地域
<例句：逝将去女，适彼乐国。>
",
733,2269,今夫山，一卷石之多，及其广大，草木生之，禽兽居之，宝藏兴焉，今夫水，一勺之多，及其不测，鼋、鼍、蛟龙、鱼鳖生【焉】，货财殖焉,焉,"1、常用在句末，一般可不译出。
<例句：于是余有叹焉。>
2、有时用于反诘语气，可译为""呢""。
<例句：万钟于我何加焉！>
3、""焉""在句中，作形容词、副词词尾，表示语气上的停顿。
<例句：硿硿焉，余固笑而不信也。>
4、代词。相当于""之""。
<例句：使皇武子辞焉。>
<例句：惟俟夫观人风者得焉。>
<例句：犹且从师而问焉。>
<例句：去今之墓而葬焉，其为时止十有一月耳。>
5、疑问代词。译为""什么""、""哪里""等。
<例句：面目美好者，焉故必知者。>
<例句：且焉置土石？>
<例句：未知生，焉知死>
<例句：割鸡焉用牛刀>
6、兼词。相当于""于是""、""于之""等。
<例句：必死是间，余收尔骨焉。>
<例句：微波入焉。>
",
1228,2764,唯天下至圣为能聪明睿知，足以有临也；宽裕温柔，足以有容也；发强刚毅，足以有执也；齐庄中正，足以有敬也；文理密察，足【以】有别也,以,"1、……身份""等。
<例句：以故法为其国与此同。>
<例句：愿以十五城请易璧。>
<例句：乃入见。问：""何以战？"">
<例句：余船以次俱进。>
<例句：是时以大中丞抚吴者为魏之私人……>
2、起提宾作用，""把""。
<例句：秦亦不以城予赵，赵亦终不予秦璧。>
3、表示动作、行为产生的原因，可译为""因""""由于""。
<例句：且以一璧之故逆强秦之欢，不可。>
<例句：时操军兼以饥疫，死者大半。>
4、引进动作、行为发生的时间和处所，用法同""于""。可译为""在""""从""。
<例句：余以乾隆三十九年十二月，自京师乘风雪，……至于泰安。>
<例句：今以长沙豫章往，水道多绝，难行。>
5、表示动作、行为的对象，用法同""与""，可译为""和""""跟""，有时可译为""率领""。
<例句：天下有变，王割汉中以楚和。>
<例句：（公子）欲以客往赴秦军，与赵俱死。>
6、，可译为''而""""又""""而且""""并且""等，或者省去。
<例句：夫夷以近，则游者众……>
7、表示承接关系，""以""前的动作行为，往往是后一动作行为的手段或方式。可译为""而""或省去。
<例句：余与四人拥火以入。>
8、表示目的关系，""以""后的动作行为，往往是前一动作行为的目的或结果。可译为""而""""来""""用来""""以致""等。
<例句：作《师说》以贻之。>
<例句：敛赀财以送其行。>
<例句：不宜妄自菲薄……以塞忠谏之路也。>
9、表示因果关系，常用在表原因的分句前，可译为''因为""。
<例句：诸侯以公子贤，多客，不敢加兵谋魏十余年。>
<例句：古人……以其求思之深而无不在也。>
10、复音虚词""以是""""是以""，相当于""因此""，引出事理发展或推断的结果。
<例句：以是人多以书假余，余因得遍观群书。>
<例句：余是以记之，盖叹郦元之简，而笑李渤之陋也。>
<例句：是以十九年而刀刃若新发于硎。>
",
1485,3021,《诗》曰：“【不】显惟德！百辟其刑之,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",
414,1950,唯天下至诚，为能尽其性；能尽其性，则能尽人之性；能【尽】人之性，则能尽物之性；能尽物之性，则可以赞天地之化育；可以赞天地之化育，则可以与天地参矣,尽,"1、<动>完；完尽；完了
<例句：肴核既尽，杯盘狼藉。>
2、<动>全部用出
<例句：寡人之于国也，尽心焉耳矣。>
3、<动>完结；消亡
<例句：退而甘食其土之有，以尽吾齿。>
<例句：转侧床头，惟思自尽。>
4、<名>尽头
<例句：则物与我皆无尽也，而又何羡乎。>
5、<动>达到顶点；穷极
<例句：妙尽璇机之正。>
6、<副>全部；全都
<例句：萍水相逢，尽是他乡之客。>
7、<副>极端；最
<例句：子谓《韶》尽美矣，又尽善也。>
8、<动>同“进”，进行
<例句：近臣尽规。>
9、<动>尽量；尽可能
<例句：虚坐尽后，食坐尽后。>
10、<副>任凭；任随
<例句：惟有落红不禁，尽教飞舞出宫墙。>
11、<动>完；完尽；完了
<例句：肴核既尽，杯盘狼藉。>
12、<动>全部用出
<例句：寡人之于国也，尽心焉耳矣。>
13、<动>完结；消亡
<例句：退而甘食其土之有，以尽吾齿。>
<例句：转侧床头，惟思自尽。>
14、<名>尽头
<例句：则物与我皆无尽也，而又何羡乎。>
15、<动>达到顶点；穷极
<例句：妙尽璇机之正。>
16、<副>全部；全都
<例句：萍水相逢，尽是他乡之客。>
17、<副>极端；最
<例句：子谓《韶》尽美矣，又尽善也。>
18、<动>同“进”，进行
<例句：近臣尽规。>
19、<动>尽量；尽可能
<例句：虚坐尽后，食坐尽后。>
20、<副>任凭；任随
<例句：惟有落红不禁，尽教飞舞出宫墙。>
",
219,1755,获乎【上】有道，不信乎朋友，不获乎上矣；信乎朋友有道，不顺乎亲，不信乎朋友矣；顺乎亲有道，反诸身不诚，不顺乎亲矣；诚身有道，不明乎善，不诚乎身矣,上,"1、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
2、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
3、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
4、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
5、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
6、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
7、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
8、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
9、<动>装上；加上
<例句：以枪上刺刀相博击。>
10、<动>通“尚”
<例句：上农除未，黔首是富。>
11、<名>上声
<例句：至平上去入，则余病未能。>
12、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
13、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
14、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
15、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
16、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
17、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
18、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
19、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
20、<动>装上；加上
<例句：以枪上刺刀相博击。>
21、<动>通“尚”
<例句：上农除未，黔首是富。>
22、<名>上声
<例句：至平上去入，则余病未能。>
",
1461,2997,《诗》曰：“奏【假】无言，时靡有争,假,"1、<动>借；贷
<例句：以是人多以书假余，余因得遍观群书。>
2、<动>凭借；借助
<例句：君子生非异也，善假于物也。>
3、<动>用；须
<例句：将军之所知，不假仆一二谈也。>
4、<动>给予
<例句：汉人未可假大兵权。>
5、<形>非正式的；代理的
<例句：乃相与共立项羽为假上将军。>
6、<形>虚假的；假的
<例句：那里去辨甚么真共假?>
7、<动>假装；装作
<例句：乃悟前狼假寐，盖以诱敌。>
8、<连>假使；假如
<例句：仆自卜固无取，假令有取，亦不敢为人师。>
9、<名>假期
<例句：府吏闻此变，因求假暂归。>
10、<名>通“暇”，空闲时间
<例句：岂急于富贵未假度者耶?>
11、<形>通“遐”
<例句：世以为登假焉。>
12、<动>借；贷
<例句：以是人多以书假余，余因得遍观群书。>
13、<动>凭借；借助
<例句：君子生非异也，善假于物也。>
14、<动>用；须
<例句：将军之所知，不假仆一二谈也。>
15、<动>给予
<例句：汉人未可假大兵权。>
16、<形>非正式的；代理的
<例句：乃相与共立项羽为假上将军。>
17、<形>虚假的；假的
<例句：那里去辨甚么真共假?>
18、<动>假装；装作
<例句：乃悟前狼假寐，盖以诱敌。>
19、<连>假使；假如
<例句：仆自卜固无取，假令有取，亦不敢为人师。>
20、<名>假期
<例句：府吏闻此变，因求假暂归。>
21、<名>通“暇”，空闲时间
<例句：岂急于富贵未假度者耶?>
22、<形>通“遐”
<例句：世以为登假焉。>
",
1110,2646,庶几夙夜，【以】永终誉！”君子未有不如此而蚤有誉于天下者也,以,"1、……身份""等。
<例句：以故法为其国与此同。>
<例句：愿以十五城请易璧。>
<例句：乃入见。问：""何以战？"">
<例句：余船以次俱进。>
<例句：是时以大中丞抚吴者为魏之私人……>
2、起提宾作用，""把""。
<例句：秦亦不以城予赵，赵亦终不予秦璧。>
3、表示动作、行为产生的原因，可译为""因""""由于""。
<例句：且以一璧之故逆强秦之欢，不可。>
<例句：时操军兼以饥疫，死者大半。>
4、引进动作、行为发生的时间和处所，用法同""于""。可译为""在""""从""。
<例句：余以乾隆三十九年十二月，自京师乘风雪，……至于泰安。>
<例句：今以长沙豫章往，水道多绝，难行。>
5、表示动作、行为的对象，用法同""与""，可译为""和""""跟""，有时可译为""率领""。
<例句：天下有变，王割汉中以楚和。>
<例句：（公子）欲以客往赴秦军，与赵俱死。>
6、，可译为''而""""又""""而且""""并且""等，或者省去。
<例句：夫夷以近，则游者众……>
7、表示承接关系，""以""前的动作行为，往往是后一动作行为的手段或方式。可译为""而""或省去。
<例句：余与四人拥火以入。>
8、表示目的关系，""以""后的动作行为，往往是前一动作行为的目的或结果。可译为""而""""来""""用来""""以致""等。
<例句：作《师说》以贻之。>
<例句：敛赀财以送其行。>
<例句：不宜妄自菲薄……以塞忠谏之路也。>
9、表示因果关系，常用在表原因的分句前，可译为''因为""。
<例句：诸侯以公子贤，多客，不敢加兵谋魏十余年。>
<例句：古人……以其求思之深而无不在也。>
10、复音虚词""以是""""是以""，相当于""因此""，引出事理发展或推断的结果。
<例句：以是人多以书假余，余因得遍观群书。>
<例句：余是以记之，盖叹郦元之简，而笑李渤之陋也。>
<例句：是以十九年而刀刃若新发于硎。>
",
