,句子,字,释义,标注选项（填序号）：,验证选项（填序号）：
10,祸福将至，善，必先知之；不善，必先知【之】,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",1,5
11,”是故君子不赏而民劝，不怒【而】民威于鈇钺,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",2,4
12,夫焉有所【倚】？肫肫其仁！渊渊其渊！浩浩其天！苟不固聪明圣知达天德者，其孰能知之？《诗》曰：“衣锦尚絅”，恶其文之著也,倚,"1、<动>靠着
<例句：倚南窗以寄傲，审容膝之易安。>
2、<动>拄着
<例句：归来倚杖自叹息。>
3、<动>随着；依照
<例句：客有吹洞箫者，倚歌而和之。>
<例句：搁>
",1,0
13,唯天下至圣为能聪明睿知，足以有临也；宽裕温柔，足以有容也；发强刚毅，足以有执【也】；齐庄中正，足以有敬也；文理密察，足以有别也,也,"1、表示判断语气的。
<例句：死生，昼夜事也。>
<例句：吾师肺肝，皆铁石所铸造也。>
2、表示肯定语气的。
<例句：昔人云：""将以有为也。"">
<例句：吾上恐负朝廷，下恐愧吾师也。>
3、就是有否定词的句子，仍然是一种表否定的肯定。
<例句：众曰：""若所为诚快，然使君冤未白，犹无益也。"">
4、表示疑问语气的。
<例句：吾王庶几无疾病与，何以能鼓乐也？>
<例句：公子畏死邪？何泣也？>
5、表示感叹语气的。
<例句：吾王之好田猎，夫何使我至于此极也！>
<例句：君美甚，徐公何能及君也！>
6、用在句中，表示停顿，以舒缓语气。
<例句：当余之从师也，负箧曳屣，行深山巨谷中……>
<例句：师道之不传也久矣。>
",1,2
14,祸福将至，善，必先知【之】；不善，必先知之,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",1,5
15,【凡】为天下国家有九经，所以行之者一也,凡,"1、<形>平常；平庸
<例句：巨是凡人，偏在远郡。>
2、<名>人世间；尘世
<例句：仙凡路阻两难留。>
3、<副>凡是，表示概括
<例句：凡先王之法有要于时者。>
4、<名>大概；大略
<例句：仆尝倦谈，不能一二其详，请略举凡。>
5、<动>总共；总计，表示总合
<例句：凡六百一十六言。>
<例句：由是先主遂诣亮，凡三往，乃见。>
<例句：性殊凡自知时，飞不乱行聊渐陆。>
<例句：题门上作‘风’字而去……‘凤’字，凡也。>
",5,3
16,舟车所至，人力所通，天之【所】覆，地之所载，日月所照，霜露所队，凡有血气者，莫不尊亲，故曰配天,所,"1、经常放在动词前，同动词结合，组成""所""字结构。""所""字结构是名词性短语，表示""所……的人""、""所……的事物""、""所……的情况""等。
<例句：于众人广坐之中，不宜有所过，今公子故过之。>
<例句：故余虽愚，卒获有所闻。>
<例句：余在患难中，间以诗记所遭。>
2、""所""和动词结合，后面再有名词性结构，则所字结构起定语的作用。
<例句：夜则以兵围所寓舍。>
<例句：臣所过屠者朱亥，此子贤者，世莫能知，故隐屠闻耳。>
3、在有些句子中，""为""和""所""呼应，组成""为……所……""的格式，表示被动。
<例句：贾家庄几为巡徼所陵迫死。>
<例句：嬴闻如姬父为人所杀。>
4、表示原因的。
<例句：亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。>
<例句：吾所以为此者，以先国家之急而后私仇也。>
<例句：臣所以去亲戚而事君者，徒慕君之高义也。>
<例句：所以遣将守关者，备他盗之出入与非常也。>
5、表示手段或凭借的。
<例句：吾所以待侯生者备矣，……>
<例句：师者，所以传道受业解惑也。>
6、【所谓】所说的。
<例句：此所谓战胜于朝廷。>
<例句：非吾所谓传其道解其惑者也。>
7、到处。
<例句：石之铿然有声音者，所在皆是也。>
8、所在之处，处所。
<例句：原来有这等一个所在，且回衙去>
<例句：急趋之，折过墙隅，迷其所在。>
",2,1
17,故【至】诚无息,至,"1、<动>来到；到达
<例句：王无罪岁，斯天下之民至焉。>
2、<形>达到顶点
<例句：二者用精至矣。>
3、<形>周到
<例句：或遇其叱咄，色愈恭，礼愈至，不敢出一言以复。>
4、<副>极；最
<例句：寡助之至，亲戚畔之。>
5、<连>至于
<例句：至桀、纣之暴，犹谓汤、武不当诛之。>
",2,4
18,“博学之，审【问】之，慎思之，明辨之，笃行之,问,"1、<动>询问
<例句：公问其故。>
2、<动>慰问；问候
<例句：村中闻有此人，咸来问讯。>
3、<动>请教
<例句：犹且从师而问焉。>
4、<动>追究；考察
<例句：第得降卒，必亲引问委曲。>
5、<动>管；干预
<例句：府佐快其所为，阴纵之，不问。>
",4,1
19,万物并育而【不】相害，道并行而不相悖，小德川流，大德敦化，此天地之这所以为大也,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",2,1
20,人一能之己【百】之，人十能之己千之,百,"1、<数>十个十
2、<数>概数
<例句：是故百战百胜非善之善者也。>
3、<数>十个十
4、<数>概数
<例句：是故百战百胜非善之善者也。>
",1,2
21,溥博【渊】泉，而时出之,渊,"1、<名>深水潭
<例句：积水成渊，蛟龙生焉。>
2、<形>深
<例句：其居也渊而静。>
",2,1
22,“于乎不显，文王之德之纯！”【盖】曰文王之所以为文也，纯亦不已,盖,"1、<名>用草编的覆盖物
2、<动>遮盖；掩盖
<例句：枝枝相覆盖，叶叶相交通。>
<例句：天似穹庐，笼盖四野。>
3、<动>胜过；超过
<例句：力拔山兮气盖世。>
<例句：况刘豫州王室之胄，英才盖世，众士仰慕。>
4、<副>表下而说的话带推测性，用在句首，相当于“推想”、“大概”
<例句：盖其又深，则其至又加少矣。>
5、<副>大概；大约
<例句：善始者实繁，克终者盖寡。>
<例句：吾之意盖谓以汝之弱，必不能禁失吾之悲。>
6、<连>连接上句或上一段，表示解说原由
<例句：本来>
<例句：原来>
<例句：忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。>
<例句：盖失强援，不能独完。>
7、<助>用于句首，表示要发表议论
<例句：盖儒者所争，尤在于名实。>
8、通“盍”
9、<副>何；怎么
<例句：技盖至此乎？>
10、兼词，何不
<例句：盖亦反其本矣。>
11、<名>用草编的覆盖物
12、<动>遮盖；掩盖
<例句：枝枝相覆盖，叶叶相交通。>
<例句：天似穹庐，笼盖四野。>
13、<动>胜过；超过
<例句：力拔山兮气盖世。>
<例句：况刘豫州王室之胄，英才盖世，众士仰慕。>
14、<副>表下而说的话带推测性，用在句首，相当于“推想”、“大概”
<例句：盖其又深，则其至又加少矣。>
15、<副>大概；大约
<例句：善始者实繁，克终者盖寡。>
<例句：吾之意盖谓以汝之弱，必不能禁失吾之悲。>
16、<连>连接上句或上一段，表示解说原由
<例句：本来>
<例句：原来>
<例句：忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。>
<例句：盖失强援，不能独完。>
17、<助>用于句首，表示要发表议论
<例句：盖儒者所争，尤在于名实。>
18、通“盍”
19、<副>何；怎么
<例句：技盖至此乎？>
20、兼词，何不
<例句：盖亦反其本矣。>
",6,4
23,是故居【上】不骄，为下不倍；国有道，其言足以兴；国无道，其默足以容,上,"1、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
2、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
3、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
4、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
5、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
6、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
7、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
8、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
9、<动>装上；加上
<例句：以枪上刺刀相博击。>
10、<动>通“尚”
<例句：上农除未，黔首是富。>
11、<名>上声
<例句：至平上去入，则余病未能。>
12、<名>上面；位置在高处的
<例句：辍耕之垄上，怅恨久之。>
<例句：新城之上。有池洼然而方以长。>
13、<形>等级高的；质量高的；上等
<例句：拜相如为上大夫。>
<例句：群臣吏民能面刺寡人之过者，受上赏。>
14、<名>地位高的人；主持、领导的人
<例句：上下同欲者胜。>
<例句：上自劳累。>
<例句：上伟之。>
15、<形>时间或次序在前的
<例句：上称帝喾，下道歉齐桓，中述汤武。>
<例句：东方千余骑，夫婿居上头。>
16、<动>上升；登上
<例句：郡县逼迫，催臣上道。>
<例句：十里，上黄泥冈。>
17、<副>向上
<例句：哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。>
<例句：上不臣于王，下不治其家，中不索交诸侯。>
18、<动>献上；送上；呈上
<例句：臣乃敢上壁。>
<例句：狱辞上。中有立决者。>
19、<动>向上；走向
<例句：上堂拜阿母。>
<例句：始复上街头理其故业。>
20、<动>装上；加上
<例句：以枪上刺刀相博击。>
21、<动>通“尚”
<例句：上农除未，黔首是富。>
22、<名>上声
<例句：至平上去入，则余病未能。>
",1,3
24,今夫山，一卷石之多，及其【广】大，草木生之，禽兽居之，宝藏兴焉，今夫水，一勺之多，及其不测，鼋、鼍、蛟龙、鱼鳖生焉，货财殖焉,广,"1、<形>宽阔，与“狭”相对
<例句：安得广厦千万间，大庇天下寒士俱欢颜。>
2、<形>宏大
<例句：君子贫穷而志广。>
3、<动>扩大；增广
<例句：必能裨补阙漏，有所广益。>
4、<动>宽心；安慰
<例句：自以为寿不得长，安悼之，乃为赋以自广。>
5、<副>广泛；多余地
<例句：幸可广问讯，不得便相许。>
6、<名>广州的简称
<例句：杂彩三百匹，交广市鲑珍。>
7、<名>春秋时楚国战车建制名，兵画十五辆为一广
8、<形>横
<例句：广袤>
9、<形>通“旷”，空缺，荒废
10、<名>通“圹”，坟墓
<例句：自望其广，则睪如也。>
11、<形>宽阔，与“狭”相对
<例句：安得广厦千万间，大庇天下寒士俱欢颜。>
12、<形>宏大
<例句：君子贫穷而志广。>
13、<动>扩大；增广
<例句：必能裨补阙漏，有所广益。>
14、<动>宽心；安慰
<例句：自以为寿不得长，安悼之，乃为赋以自广。>
15、<副>广泛；多余地
<例句：幸可广问讯，不得便相许。>
16、<名>广州的简称
<例句：杂彩三百匹，交广市鲑珍。>
17、<名>春秋时楚国战车建制名，兵画十五辆为一广
18、<形>横
<例句：广袤>
19、<形>通“旷”，空缺，荒废
20、<名>通“圹”，坟墓
<例句：自望其广，则睪如也。>
",2,1
