,sentences,words,meanings,labels
63,人皆曰予知，择乎中【庸】，而不能期月守也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
64,人皆曰予知，择乎中庸，而不能【期】月守也,期,"1、<名>时限；期限；限定或约定的时间
<例句：会天大雨，道不通，度已失期。>
<例句：以五年为期，必复之全之。>
2、<动>约会；约定
<例句：今夜半，方期我决斗某所。>
<例句：陈太丘与友期行，期日中。>
3、<动>期望；要求
<例句：是以圣人不期修古，不法常可。>
<例句：良剑期乎断，不期乎镆铘。>
4、<动>预料；料想
<例句：曾有东京来的人传说兄长的豪杰，不期今日得会。>
5、<名>时日；日期
<例句：业根，死期至矣！>
<例句：谁为我临期成此大节者？>
6、<动>及；至
<例句：宝贵非吾愿，帝乡不可期。>
<例句：况修短随化，终期于尽。>
7、<副>必定；必然
<例句：然百岁后期令子孙思我言。>
8、同“朞”、“稘”
<例句：期三百有六旬有六日。>
<例句：多历年所，二百馀期。>
9、期服；为去世的亲属服一年的丧
<例句：伯父、叔父、兄弟，期。>
10、<名>时限；期限；限定或约定的时间
<例句：会天大雨，道不通，度已失期。>
<例句：以五年为期，必复之全之。>
11、<动>约会；约定
<例句：今夜半，方期我决斗某所。>
<例句：陈太丘与友期行，期日中。>
12、<动>期望；要求
<例句：是以圣人不期修古，不法常可。>
<例句：良剑期乎断，不期乎镆铘。>
13、<动>预料；料想
<例句：曾有东京来的人传说兄长的豪杰，不期今日得会。>
14、<名>时日；日期
<例句：业根，死期至矣！>
<例句：谁为我临期成此大节者？>
15、<动>及；至
<例句：宝贵非吾愿，帝乡不可期。>
<例句：况修短随化，终期于尽。>
16、<副>必定；必然
<例句：然百岁后期令子孙思我言。>
17、同“朞”、“稘”
<例句：期三百有六旬有六日。>
<例句：多历年所，二百馀期。>
18、期服；为去世的亲属服一年的丧
<例句：伯父、叔父、兄弟，期。>
19、<名>时限；期限；限定或约定的时间
<例句：会天大雨，道不通，度已失期。>
<例句：以五年为期，必复之全之。>
20、<动>约会；约定
<例句：今夜半，方期我决斗某所。>
<例句：陈太丘与友期行，期日中。>
21、<动>期望；要求
<例句：是以圣人不期修古，不法常可。>
<例句：良剑期乎断，不期乎镆铘。>
22、<动>预料；料想
<例句：曾有东京来的人传说兄长的豪杰，不期今日得会。>
23、<名>时日；日期
<例句：业根，死期至矣！>
<例句：谁为我临期成此大节者？>
24、<动>及；至
<例句：宝贵非吾愿，帝乡不可期。>
<例句：况修短随化，终期于尽。>
25、<副>必定；必然
<例句：然百岁后期令子孙思我言。>
26、同“朞”、“稘”
<例句：期三百有六旬有六日。>
<例句：多历年所，二百馀期。>
27、期服；为去世的亲属服一年的丧
<例句：伯父、叔父、兄弟，期。>
",0
65,子曰：“【回】之为人也，择乎中庸，得一善，则拳拳服膺弗失之矣,回,"1、<动>旋转；回旋
<例句：春冬之时，则素湍绿潭，回清倒影。>
2、<动>运转；运行
<例句：虎鼓瑟兮鸾回车。>
3、<动>掉转；改变方向
<例句：手把文书口称敕，回车叱牛牵向北。>
4、<形>回环；曲折
<例句：廊腰缦回，檐牙高啄。>
5、<动>返回；回归
<例句：少小离家老大回。>
6、<动>回复；答复
<例句：脱获回耗，虽死必谢。>
7、<形>奸邪
<例句：淑人君子，其德不回。>
8、<量>次
<例句：渐老逢春能几回？>
",0
66,子曰：“回之为人也，择乎【中】庸，得一善，则拳拳服膺弗失之矣,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
67,子曰：“回之为人也，择乎中【庸】，得一善，则拳拳服膺弗失之矣,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
68,子曰：“回之为人也，择乎中庸，得一【善】，则拳拳服膺弗失之矣,善,"1、<形>好；善良
<例句：择其善者而从之，其不善者而改之。>
<例句：愿无伐善，无施劳。>
<例句：晋鄙听，大善；不听，可使击之。>
2、<动>喜欢；羡慕
<例句：善万物之得时，感吾生之行休。>
<例句：罗敷善蚕桑，采桑城南隅。>
3、<形>表示赞许
<例句：王曰：‘善。’乃下令。>
4、<名>好的行为；长处
<例句：惟王君之心，岂爱人之善，虽一能为以废，而因为及其迹邪？>
<例句：一善易能也。>
5、<动>亲善；友好
<例句：楚左尹项伯者，项羽季父也，素善留侯张良。>
6、<动>善于；擅长
<例句：君子生非异也，善假于物也。>
<例句：陈康肃公尧咨善射。>
7、<副>好好地
<例句：愿得将军之首以献秦，秦王必喜而善见臣。>
8、<形>熟悉
<例句：我看着面善，心里就算是旧相识。>
9、<动>通“缮”
<例句：善刀而藏之。>
",0
69,子曰：“回之为人也，择乎中庸，得一善，则【拳】拳服膺弗失之矣,拳,"1、<名>拳头
<例句：攘袂奋拳。>
<例句：女两手皆拳。>
<例句：则拳曲不可以为栋梁。>
2、<名>勇力
<例句：无拳无勇，职为乱阶。>
",0
70,子曰：“回之为人也，择乎中庸，得一善，则拳【拳】服膺弗失之矣,拳,"1、<名>拳头
<例句：攘袂奋拳。>
<例句：女两手皆拳。>
<例句：则拳曲不可以为栋梁。>
2、<名>勇力
<例句：无拳无勇，职为乱阶。>
",0
71,子曰：“回之为人也，择乎中庸，得一善，则拳拳【服】膺弗失之矣,服,"1、<动>使用；用
<例句：服牛乘马，引重致远。>
2、<动>从事；承当
<例句：有事，弟子服其劳。>
3、<名>衣服
<例句：余幼好此奇服兮。>
4、<动>穿戴；穿着
<例句：朝服衣冠，窥镜。>
5、<动>佩；佩带
<例句：文车二驷，服剑一。>
6、<动>归顺；服从
<例句：故远人不服，则修文德以来之。>
7、<动>降服；制服
<例句：以一服八，何以异于邹敌楚哉？>
8、<动>屈服
<例句：所当者破，所击者服。>
9、<动>信服；佩服
<例句：果地震陇西，于是皆服其妙。>
<例句：曲罢曾教善才服。>
10、<动>呑服药物
<例句：常服何药？>
11、<动>使用；用
<例句：服牛乘马，引重致远。>
12、<动>从事；承当
<例句：有事，弟子服其劳。>
13、<名>衣服
<例句：余幼好此奇服兮。>
14、<动>穿戴；穿着
<例句：朝服衣冠，窥镜。>
15、<动>佩；佩带
<例句：文车二驷，服剑一。>
16、<动>归顺；服从
<例句：故远人不服，则修文德以来之。>
17、<动>降服；制服
<例句：以一服八，何以异于邹敌楚哉？>
18、<动>屈服
<例句：所当者破，所击者服。>
19、<动>信服；佩服
<例句：果地震陇西，于是皆服其妙。>
<例句：曲罢曾教善才服。>
20、<动>呑服药物
<例句：常服何药？>
",0
72,子曰：“天下国家可【均】也，爵禄可辞也，白刃可蹈也，中庸不可能也,均,"1、<名>通“钧”，制作陶器的转轮
<例句：不明于则，而欲出号令，就立朝夕于运均之上。>
2、<形>均匀；平均
<例句：不患贫而患不均。>
3、<形>公平；公正
<例句：将军向宠，性行淑均。>
4、<动>均匀地分布
<例句：故知霜露所均，不育异类。>
5、<动>权衡；衡量
<例句：均之二策，宁许以负秦曲。>
6、<副>都；皆；全
<例句：均欲奋勇出城决战。>
",0
73,子曰：“天下国家可均也，爵禄可辞也，【白】刃可蹈也，中庸不可能也,白,"1、<名>白色
<例句：永州之野产异蛇白质而黑章。>
2、<形>纯洁;干净
<例句：粉身碎骨浑不怕要留清白在人问。>
3、<形>明亮;光明
<例句：相与枕藉手舟中不知东方之既白。>
4、<形>清楚;明白
<例句：功名不白。>
<例句：然使君冤未白犹无益也。>
5、<形>真诚;坦白
<例句：机心存于胸中则纯白不各。>
6、<动>禀告;陈述
<例句：便可白公姥及时相遣归。>
7、<副>单单;只是
<例句：要是白来逛逛呢便罢。>
8、<名>指罚酒用的酒杯,也泛指酒杯
<例句：飞觞举白。>
",0
74,子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，【中】庸不可能也,中,"1、<名>内；里
<例句：一屠晚归，担中肉尽。>
2、<名>中间；内部
<例句：有大石当中流。>
3、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
4、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
5、<名>内心
<例句：深中隐厚。>
6、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
7、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
8、<动>射中
<例句：见其矢十中八九。>
9、<动>击中
<例句：乃引其匕首提秦王，不中。>
10、<动>考中
<例句：你恭喜中了举人。>
11、<动>猜中
<例句：射者中，弈者胜。>
12、<动>中伤
<例句：臧怒，欲中守法。>
13、<名>内；里
<例句：一屠晚归，担中肉尽。>
14、<名>中间；内部
<例句：有大石当中流。>
15、<形>半；一半
<例句：若中道而归，何异断斯织乎。>
16、<形>中等；不高，不低
<例句：上书谏寡人者，受中赏。>
17、<名>内心
<例句：深中隐厚。>
18、<名>中国
<例句：图画之设彩者，用水彩，中外所同也。>
19、<动>符合
<例句：木直中绳，輮以为轮，其曲中规。>
20、<动>射中
<例句：见其矢十中八九。>
21、<动>击中
<例句：乃引其匕首提秦王，不中。>
22、<动>考中
<例句：你恭喜中了举人。>
23、<动>猜中
<例句：射者中，弈者胜。>
24、<动>中伤
<例句：臧怒，欲中守法。>
",0
75,子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中【庸】不可能也,庸,"1、<动>任用
<例句：王其无庸战。>
2、<动>受雇用
<例句：若为庸耕，何富贵也？>
3、<名>受雇用的人
<例句：泽居苦水者，买庸而决窦。>
4、<形>平庸
<例句：且庸人尚羞之，况于将相乎。>
5、<副>难道；岂
<例句：吾师道也，夫庸知其年之先后生于吾乎？>
",0
76,子【路】问强,路,"1、<名>道路
<例句：遂迷，不复得路。>
2、<名>途径；门路
<例句：以塞忠谏之路也。>
3、<名>路程；路途
<例句：缘溪行，忘路之远近。>
4、<名>宋元时的行政区域名
<例句：望中犹记，烽火扬州路。>
5、<形>衰败；疲惫
<例句：如必，自为而后用之是率天下而路也。>
",0
77,子路问【强】,强,"1、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
2、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
3、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
4、<动>加强；增强
<例句：强公室，杜私门。>
5、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
6、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
7、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
8、<动>强迫
<例句：少年固强之。>
9、<副>强行
<例句：秦王度之，终不可强夺。>
10、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
11、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
12、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
13、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
14、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
15、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
16、<动>加强；增强
<例句：强公室，杜私门。>
17、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
18、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
19、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
20、<动>强迫
<例句：少年固强之。>
21、<副>强行
<例句：秦王度之，终不可强夺。>
22、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
23、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
24、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
25、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
26、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
27、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
28、<动>加强；增强
<例句：强公室，杜私门。>
29、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
30、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
31、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
32、<动>强迫
<例句：少年固强之。>
33、<副>强行
<例句：秦王度之，终不可强夺。>
34、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
35、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
36、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
",0
78,子曰：“南方之【强】与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,强,"1、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
2、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
3、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
4、<动>加强；增强
<例句：强公室，杜私门。>
5、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
6、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
7、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
8、<动>强迫
<例句：少年固强之。>
9、<副>强行
<例句：秦王度之，终不可强夺。>
10、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
11、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
12、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
13、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
14、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
15、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
16、<动>加强；增强
<例句：强公室，杜私门。>
17、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
18、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
19、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
20、<动>强迫
<例句：少年固强之。>
21、<副>强行
<例句：秦王度之，终不可强夺。>
22、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
23、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
24、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
25、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
26、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
27、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
28、<动>加强；增强
<例句：强公室，杜私门。>
29、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
30、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
31、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
32、<动>强迫
<例句：少年固强之。>
33、<副>强行
<例句：秦王度之，终不可强夺。>
34、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
35、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
36、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
",0
79,子曰：“南方之强【与】？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,与,"1、作连词。相当于""和""、""跟""、""同""。
<例句：蜩与学鸠笑之。>
2、助感叹语气，可译为""啊""。
<例句：其可怪也欤！>
3、""孰与""连用，用来比较两个人的高下、优劣或两件事的得失、好坏。又可分为两类。一类是句中提出比较的内容，可译为""与……相比，谁……""。
<例句：吾孰与徐公美？>
4、一类是句中没有提出比较的内容，可译为""与……比较起来怎么样。""
<例句：公之视廉将军孰与奉之？>
",0
80,子曰：“南方之强与？北方之【强】与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,强,"1、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
2、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
3、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
4、<动>加强；增强
<例句：强公室，杜私门。>
5、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
6、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
7、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
8、<动>强迫
<例句：少年固强之。>
9、<副>强行
<例句：秦王度之，终不可强夺。>
10、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
11、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
12、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
13、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
14、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
15、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
16、<动>加强；增强
<例句：强公室，杜私门。>
17、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
18、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
19、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
20、<动>强迫
<例句：少年固强之。>
21、<副>强行
<例句：秦王度之，终不可强夺。>
22、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
23、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
24、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
25、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
26、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
27、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
28、<动>加强；增强
<例句：强公室，杜私门。>
29、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
30、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
31、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
32、<动>强迫
<例句：少年固强之。>
33、<副>强行
<例句：秦王度之，终不可强夺。>
34、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
35、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
36、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
",0
81,子曰：“南方之强与？北方之强【与】？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,与,"1、作连词。相当于""和""、""跟""、""同""。
<例句：蜩与学鸠笑之。>
2、助感叹语气，可译为""啊""。
<例句：其可怪也欤！>
3、""孰与""连用，用来比较两个人的高下、优劣或两件事的得失、好坏。又可分为两类。一类是句中提出比较的内容，可译为""与……相比，谁……""。
<例句：吾孰与徐公美？>
4、一类是句中没有提出比较的内容，可译为""与……比较起来怎么样。""
<例句：公之视廉将军孰与奉之？>
",0
82,子曰：“南方之强与？北方之强与？抑而【强】与？宽柔以教，不报无道，南方之强也，君子居之,强,"1、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
2、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
3、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
4、<动>加强；增强
<例句：强公室，杜私门。>
5、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
6、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
7、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
8、<动>强迫
<例句：少年固强之。>
9、<副>强行
<例句：秦王度之，终不可强夺。>
10、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
11、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
12、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
13、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
14、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
15、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
16、<动>加强；增强
<例句：强公室，杜私门。>
17、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
18、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
19、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
20、<动>强迫
<例句：少年固强之。>
21、<副>强行
<例句：秦王度之，终不可强夺。>
22、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
23、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
24、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
25、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
26、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
27、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
28、<动>加强；增强
<例句：强公室，杜私门。>
29、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
30、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
31、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
32、<动>强迫
<例句：少年固强之。>
33、<副>强行
<例句：秦王度之，终不可强夺。>
34、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
35、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
36、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
",0
83,子曰：“南方之强与？北方之强与？抑而强【与】？宽柔以教，不报无道，南方之强也，君子居之,与,"1、作连词。相当于""和""、""跟""、""同""。
<例句：蜩与学鸠笑之。>
2、助感叹语气，可译为""啊""。
<例句：其可怪也欤！>
3、""孰与""连用，用来比较两个人的高下、优劣或两件事的得失、好坏。又可分为两类。一类是句中提出比较的内容，可译为""与……相比，谁……""。
<例句：吾孰与徐公美？>
4、一类是句中没有提出比较的内容，可译为""与……比较起来怎么样。""
<例句：公之视廉将军孰与奉之？>
",0
84,子曰：“南方之强与？北方之强与？抑而强与？【宽】柔以教，不报无道，南方之强也，君子居之,宽,"1、<形>宽阔；宽广
<例句：云水洞庭宽。>
2、<动>放宽；放松
<例句：惟极贫无依，则械系不稍宽。>
3、<动>宽容；宽恕
<例句：鄙贱之人，不知将军宽之至此。>
<例句：此四君者，皆明智而忠信，宽厚而爱人。>
4、<形>宽裕；宽绰
<例句：以二人居屋十间，食田一顷，宽然有余矣。>
5、<动>宽松松缓
<例句：衣带渐宽终不悔，为伊消得人憔悴。>
",0
85,子曰：“南方之强与？北方之强与？抑而强与？宽柔以教，不报【无】道，南方之强也，君子居之,无,"1、<动>没有
<例句：黔无驴，有好事者船载以入。>
2、<副>不；别
<例句：硕鼠硕鼠，无食我麦。>
3、<连>不论；无论
<例句：是故无贵无贱，无长无少，道之所存师之所存也。>
4、<形>贫穷；无资财
<例句：礼生于有而废于无。>
",0
86,子曰：“南方之强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之【强】也，君子居之,强,"1、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
2、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
3、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
4、<动>加强；增强
<例句：强公室，杜私门。>
5、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
6、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
7、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
8、<动>强迫
<例句：少年固强之。>
9、<副>强行
<例句：秦王度之，终不可强夺。>
10、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
11、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
12、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
13、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
14、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
15、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
16、<动>加强；增强
<例句：强公室，杜私门。>
17、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
18、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
19、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
20、<动>强迫
<例句：少年固强之。>
21、<副>强行
<例句：秦王度之，终不可强夺。>
22、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
23、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
24、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
25、<形>(弓弩)硬而有力
<例句：强弩之末势不能穿鲁缟。>
26、<形>泛指强健有力
<例句：蚓无爪牙之利，筋骨之强。>
27、<形>强大；强盛
<例句：外无期功强近之亲，内无应门五尺之僮。>
28、<动>加强；增强
<例句：强公室，杜私门。>
29、<形>强悍；强横
<例句：周处年少时，凶强侠气，为乡里所患。>
30、<动>胜过；比……强
<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>
31、<形>馀；有馀
<例句：策勋十二转，赏赐百千强。>
32、<动>强迫
<例句：少年固强之。>
33、<副>强行
<例句：秦王度之，终不可强夺。>
34、<副>勉强
<例句：非夫人之物而强假焉，必虑人逼取。>
35、<副>竭力；尽力
<例句：太后不肯，大臣强谏。>
36、<形>固执；强硬不屈
<例句：唯北狄野心，掘强沙塞之间。>
",0
