,sentences,words,meanings,labels
10,物有本末，事有【终】始,终,"1、<动>终了；结束
<例句：祖母无臣，无以终余年。>
2、<动>坚持到底
<例句：善始者实繁，克终者盖寡。>
3、<动>死
<例句：未果，寻病终。>
4、<副>自始至终
<例句：虽然，受地于先王，愿终守之，弗敢易。>
5、<副>终究；终归
<例句：齐人未尝赂秦，终继五国迁灭。>
6、<形>全；整
<例句：吾尝终日而思矣，不如须臾之所学也。>
",1 0
11,物有本末，事有终【始】,始,"1、<动>开始
<例句：养生丧死无憾，王道之始也。>
2、<副>当初；起初
<例句：唐浮屠慧褒始舍于其址。>
3、<副>才；方才
<例句：年始十八九，便言多令才。>
",1 0
12,知所【先】后，则近道矣,先,"1、<形>次序或时间在前的
<例句：舟与哨相后先，几邂逅死。>
2、<动>走在前面；向前走
<例句：矢交坠兮士争先。>
3、<名>先导；前驱；表率
<例句：吾社之行为士之先者，为之声义。>
4、<动>抢先；先做
<例句：战者，必然之势也，不先于我，则先于彼。>
5、<形>从前的；过去的
<例句：果不如先愿，又非君所详。>
6、<形>对已经死去的尊长或祖先的尊
<例句：先帝创业未半而中道崩殂。>
7、<名>祖先
<例句：蒙恬者，其先齐人也。>
8、<名>前辈
<例句：尝趋百里外从乡之先达执经叩问。>
9、<副>指事情、行为发生之前
<例句：天将降大任于斯人也，必先苦其收志。>
",1 0
13,知所先【后】，则近道矣,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
14,古之欲【明】明德于天下者，先治其国,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
15,古之欲明明德【于】天下者，先治其国,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
16,欲修【其】身者，先正其心,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",
17,欲修其身者，先【正】其心,正,"1、<形>不偏；不斜
<例句：惧谗邪，则思正身以黜恶。>
2、<形>正常；正当
<例句：今天时顺正，死者尚稀。>
3、<名>规律；道理
<例句：遂乃研核阴阳，妙尽璇机之正。>
4、<形>公正；正直
<例句：邪曲之害公也，方正之不容也。>
5、<形>作为主体的，与“副”相对
<例句：而十四司正副郎好事者。>
6、<副>恰好；正好
<例句：便利此月内，六合正相应。>
7、<副>表示状态的持续、动作的进行
<例句：可怜身上衣正单。>
8、<名>正月，阴历每年的第一个月
<例句：正月繁霜，我心忧伤。>
9、<形>不偏；不斜
<例句：惧谗邪，则思正身以黜恶。>
10、<形>正常；正当
<例句：今天时顺正，死者尚稀。>
11、<名>规律；道理
<例句：遂乃研核阴阳，妙尽璇机之正。>
12、<形>公正；正直
<例句：邪曲之害公也，方正之不容也。>
13、<形>作为主体的，与“副”相对
<例句：而十四司正副郎好事者。>
14、<副>恰好；正好
<例句：便利此月内，六合正相应。>
15、<副>表示状态的持续、动作的进行
<例句：可怜身上衣正单。>
16、<名>正月，阴历每年的第一个月
<例句：正月繁霜，我心忧伤。>
",9 0
18,欲【正】其心者，先诚其意,正,"1、<形>不偏；不斜
<例句：惧谗邪，则思正身以黜恶。>
2、<形>正常；正当
<例句：今天时顺正，死者尚稀。>
3、<名>规律；道理
<例句：遂乃研核阴阳，妙尽璇机之正。>
4、<形>公正；正直
<例句：邪曲之害公也，方正之不容也。>
5、<形>作为主体的，与“副”相对
<例句：而十四司正副郎好事者。>
6、<副>恰好；正好
<例句：便利此月内，六合正相应。>
7、<副>表示状态的持续、动作的进行
<例句：可怜身上衣正单。>
8、<名>正月，阴历每年的第一个月
<例句：正月繁霜，我心忧伤。>
9、<形>不偏；不斜
<例句：惧谗邪，则思正身以黜恶。>
10、<形>正常；正当
<例句：今天时顺正，死者尚稀。>
11、<名>规律；道理
<例句：遂乃研核阴阳，妙尽璇机之正。>
12、<形>公正；正直
<例句：邪曲之害公也，方正之不容也。>
13、<形>作为主体的，与“副”相对
<例句：而十四司正副郎好事者。>
14、<副>恰好；正好
<例句：便利此月内，六合正相应。>
15、<副>表示状态的持续、动作的进行
<例句：可怜身上衣正单。>
16、<名>正月，阴历每年的第一个月
<例句：正月繁霜，我心忧伤。>
",1 0
19,欲正其心者，先诚其【意】,意,"1、<名>心意；意图
<例句：相如视秦王无意偿赵城。>
2、<名>意义
<例句：则其意深长矣。>
3、<名>心情；神态
<例句：与君离别意，同宦游人。>
<例句：目似螟，意暇甚。>
4、<名>情趣
<例句：醉翁之意不在酒，在乎山水之间也。>
5、<动>料想；估计
<例句：然不自意能先入关破秦。>
<例句：当其为里正，受扑责时，岂意其至此哉！>
6、<动>怀疑
<例句：人有亡铁者，意其邻人之子。>
",0
20,欲诚其【意】者，先致其知,意,"1、<名>心意；意图
<例句：相如视秦王无意偿赵城。>
2、<名>意义
<例句：则其意深长矣。>
3、<名>心情；神态
<例句：与君离别意，同宦游人。>
<例句：目似螟，意暇甚。>
4、<名>情趣
<例句：醉翁之意不在酒，在乎山水之间也。>
5、<动>料想；估计
<例句：然不自意能先入关破秦。>
<例句：当其为里正，受扑责时，岂意其至此哉！>
6、<动>怀疑
<例句：人有亡铁者，意其邻人之子。>
",0
21,欲诚其意者，先致其【知】,知,"1、<动>知道；了解
<例句：故察己则可以知人。>
2、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
3、<名>知觉；感觉
<例句：官知止而神欲行。>
4、<动>感到；觉得
<例句：春江水暖鸭先知。>
5、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
6、<名>交情
<例句：绝宾客之知。>
7、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
8、<动>主持
<例句：吾与之共知赵国之政。>
9、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
10、<动>知道；了解
<例句：故察己则可以知人。>
11、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
12、<名>知觉；感觉
<例句：官知止而神欲行。>
13、<动>感到；觉得
<例句：春江水暖鸭先知。>
14、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
15、<名>交情
<例句：绝宾客之知。>
16、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
17、<动>主持
<例句：吾与之共知赵国之政。>
18、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
",1 0
22,致【知】在格物,知,"1、<动>知道；了解
<例句：故察己则可以知人。>
2、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
3、<名>知觉；感觉
<例句：官知止而神欲行。>
4、<动>感到；觉得
<例句：春江水暖鸭先知。>
5、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
6、<名>交情
<例句：绝宾客之知。>
7、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
8、<动>主持
<例句：吾与之共知赵国之政。>
9、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
10、<动>知道；了解
<例句：故察己则可以知人。>
11、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
12、<名>知觉；感觉
<例句：官知止而神欲行。>
13、<动>感到；觉得
<例句：春江水暖鸭先知。>
14、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
15、<名>交情
<例句：绝宾客之知。>
16、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
17、<动>主持
<例句：吾与之共知赵国之政。>
18、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
",1 0
23,物格而【后】知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
24,物格而后【知】至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,知,"1、<动>知道；了解
<例句：故察己则可以知人。>
2、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
3、<名>知觉；感觉
<例句：官知止而神欲行。>
4、<动>感到；觉得
<例句：春江水暖鸭先知。>
5、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
6、<名>交情
<例句：绝宾客之知。>
7、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
8、<动>主持
<例句：吾与之共知赵国之政。>
9、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
10、<动>知道；了解
<例句：故察己则可以知人。>
11、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
12、<名>知觉；感觉
<例句：官知止而神欲行。>
13、<动>感到；觉得
<例句：春江水暖鸭先知。>
14、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
15、<名>交情
<例句：绝宾客之知。>
16、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
17、<动>主持
<例句：吾与之共知赵国之政。>
18、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
",1 0
25,物格而后知至，【知】至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,知,"1、<动>知道；了解
<例句：故察己则可以知人。>
2、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
3、<名>知觉；感觉
<例句：官知止而神欲行。>
4、<动>感到；觉得
<例句：春江水暖鸭先知。>
5、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
6、<名>交情
<例句：绝宾客之知。>
7、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
8、<动>主持
<例句：吾与之共知赵国之政。>
9、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
10、<动>知道；了解
<例句：故察己则可以知人。>
11、<动>认识；识别
<例句：其真无马邪？其真不知马也。>
12、<名>知觉；感觉
<例句：官知止而神欲行。>
13、<动>感到；觉得
<例句：春江水暖鸭先知。>
14、<动>交好；相亲
<例句：公孙明知叔孙于齐。>
15、<名>交情
<例句：绝宾客之知。>
16、<名>朋友
<例句：悲歌辞旧爱，衔泪觅新知。>
17、<动>主持
<例句：吾与之共知赵国之政。>
18、通“智”
<例句：君子博学而日参乎己，则知明而行无过矣。>
",1 0
26,物格而后知至，知【至】而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,至,"1、<动>来到；到达
<例句：王无罪岁，斯天下之民至焉。>
2、<形>达到顶点
<例句：二者用精至矣。>
3、<形>周到
<例句：或遇其叱咄，色愈恭，礼愈至，不敢出一言以复。>
4、<副>极；最
<例句：寡助之至，亲戚畔之。>
5、<连>至于
<例句：至桀、纣之暴，犹谓汤、武不当诛之。>
",0
27,物格而后知至，知至而【后】意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
28,物格而后知至，知至而后【意】诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,意,"1、<名>心意；意图
<例句：相如视秦王无意偿赵城。>
2、<名>意义
<例句：则其意深长矣。>
3、<名>心情；神态
<例句：与君离别意，同宦游人。>
<例句：目似螟，意暇甚。>
4、<名>情趣
<例句：醉翁之意不在酒，在乎山水之间也。>
5、<动>料想；估计
<例句：然不自意能先入关破秦。>
<例句：当其为里正，受扑责时，岂意其至此哉！>
6、<动>怀疑
<例句：人有亡铁者，意其邻人之子。>
",0
29,物格而后知至，知至而后意诚，【意】诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,意,"1、<名>心意；意图
<例句：相如视秦王无意偿赵城。>
2、<名>意义
<例句：则其意深长矣。>
3、<名>心情；神态
<例句：与君离别意，同宦游人。>
<例句：目似螟，意暇甚。>
4、<名>情趣
<例句：醉翁之意不在酒，在乎山水之间也。>
5、<动>料想；估计
<例句：然不自意能先入关破秦。>
<例句：当其为里正，受扑责时，岂意其至此哉！>
6、<动>怀疑
<例句：人有亡铁者，意其邻人之子。>
",0
30,物格而后知至，知至而后意诚，意诚而【后】心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
31,物格而后知至，知至而后意诚，意诚而后心正，心正而【后】身修，身修而后家齐，家齐而后国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
32,物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而【后】家齐，家齐而后国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
33,物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家【齐】，家齐而后国治，国治而后天下平,齐,"1、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
2、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
3、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
4、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
5、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
6、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
7、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
8、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
9、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
10、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
11、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
12、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
13、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
14、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
15、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
16、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
17、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
18、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
19、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
20、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
21、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
",3 0
34,物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家【齐】而后国治，国治而后天下平,齐,"1、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
2、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
3、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
4、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
5、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
6、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
7、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
8、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
9、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
10、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
11、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
12、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
13、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
14、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
15、<动>相同；等同；一样
<例句：与天地兮比寿，与日月兮齐光。>
<例句：一日之内，一宫之间，而气候不齐。>
16、<动>整齐，达到同一高度
<例句：至日观数里内无树，而雪与人膝齐。>
17、<动>整顿；治理
<例句：修身、齐家、治国、平天下。>
<例句：导之以德，齐之以礼。>
18、<副>一齐；同时
<例句：落霞与孤鹜齐飞，秋水共一色。>
<例句：吾作此书，泪珠与笔墨齐下。>
<例句：于是众枪齐发，敌人纷堕如落叶。>
19、<名>周代诸侯国，在今山东北部
<例句：而齐竟怒不救楚，楚大困。>
<例句：韩告急于齐。>
20、<动>通“剂”
<例句：夫匠者手巧也，而医者齐药也。>
21、<名>通“剂”
<例句：在肠胃，火齐之所及也。>
",3 0
35,物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而【后】国治，国治而后天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
36,物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而【后】天下平,后,"1、<名>君主;帝王
<例句：其南陵夏后皋之墓也。>
2、<名>君王的正妻
<例句：太后盛气而揖之。>
3、<名>后面;后边
<例句：新妇车在后。>
4、<形>次序或时间在后的
<例句：舟与哨相后先。>
5、<名>后代子孙
<例句：孟僖子知其后必有达人。>
<例句：求太监后得二从子。>
",4 0
