,sentences,words,meanings,labels
13,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，【体】群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,体,"1、<名>身体
<例句：居五日，桓侯体痛。>
2、<名>身体的一部分；肢体
<例句：四体不勤，五谷不分，孰为夫子？>
3、<名>体态；形体
<例句：东家有贤女，自名秦罗敷，可怜体无比，阿母为汝求。>
4、<名>本体；主体
<例句：以天演为体，而其用有二。>
5、<名>整体
<例句：宫中府中，俱为一体。>
6、<名>体裁；体式
<例句：禹锡精于古文，善五言诗，今体文章，复多才丽。>
7、<名>立体
<例句：吾人视觉之所得，皆面也；赖肤觉之助，而后见为体。>
8、<动>实践；实行
<例句：故圣人以身体之。>
9、<动>体谅；体察
<例句：汝体吾此心，于啼泣之余，亦以天下人为念。>
10、<名>身体
<例句：居五日，桓侯体痛。>
11、<名>身体的一部分；肢体
<例句：四体不勤，五谷不分，孰为夫子？>
12、<名>体态；形体
<例句：东家有贤女，自名秦罗敷，可怜体无比，阿母为汝求。>
13、<名>本体；主体
<例句：以天演为体，而其用有二。>
14、<名>整体
<例句：宫中府中，俱为一体。>
15、<名>体裁；体式
<例句：禹锡精于古文，善五言诗，今体文章，复多才丽。>
16、<名>立体
<例句：吾人视觉之所得，皆面也；赖肤觉之助，而后见为体。>
17、<动>实践；实行
<例句：故圣人以身体之。>
18、<动>体谅；体察
<例句：汝体吾此心，于啼泣之余，亦以天下人为念。>
19、<名>身体
<例句：居五日，桓侯体痛。>
20、<名>身体的一部分；肢体
<例句：四体不勤，五谷不分，孰为夫子？>
21、<名>体态；形体
<例句：东家有贤女，自名秦罗敷，可怜体无比，阿母为汝求。>
22、<名>本体；主体
<例句：以天演为体，而其用有二。>
23、<名>整体
<例句：宫中府中，俱为一体。>
24、<名>体裁；体式
<例句：禹锡精于古文，善五言诗，今体文章，复多才丽。>
25、<名>立体
<例句：吾人视觉之所得，皆面也；赖肤觉之助，而后见为体。>
26、<动>实践；实行
<例句：故圣人以身体之。>
27、<动>体谅；体察
<例句：汝体吾此心，于啼泣之余，亦以天下人为念。>
",9
14,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体【群】臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,群,"1、<名>兽群；聚集在一起的鸟兽
<例句：羊之乱群，犹能为害。>
2、<名>群；聚集在一起的人
<例句：吾离群而索居，亦已久矣。>
3、<动>聚集成群
<例句：士大夫之族，曰师曰弟子云者，则群聚而笑之。>
4、<形>成群的
<例句：杂花生树，群莺乱飞。>
5、<形>诸；众
<例句：登高作赋，是所望于群公。>
",2
15,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣【则】士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",1
16,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士【之】报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",2
17,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之【报】礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,报,"1、<动>断狱,判决罪人
<例句：闻死刑之报君为流涕。>
2、<动>报恩;报答
<例句：尽节于陛下之日长报养刘之日短也。>
3、<动>报仇;报怨
<例句：然则将军之仇报而燕国见陵之耻除矣。>
4、<动>答复;回信
<例句：计未定求人可使报秦者。>
<例句：烦大巫妪为入报河伯。>
5、<动>到……去,前往
<例句：卿但暂还家吾今且报府。>
",2
18,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报【礼】重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,礼,"1、<名>原指祭神敬祖，后成为奴隶社会和封建社会的等级制度、社会规范和道德规范的总称
<例句：大行不顾细谨，大礼不辞小让。>
2、<名>礼貌；礼仪；表示敬意的语言或动作
<例句：乃设九宾礼于廷。>
<例句：或遇其叱咄，色愈恭，礼愈至。>
3、<动>尊敬；以礼相待
<例句：孙讨虏聪明仁惠，敬贤礼士。>
4、<名>礼物
<例句：所以不报谢者，以为小礼无所用。>
5、<名>儒家经典“五经”之一，包括《仪礼》《周礼》《礼记》三部书
",3
19,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼【重】，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,重,"1、<形>重，与“轻”相对
<例句：士不可以不弘毅，任重而道远。>
2、<形>重要；重大
<例句：则予此行所负之责任，尤倍重于三十年前。>
3、<动>重视；看重
<例句：商人重利轻别离。>
4、<形>贵重
<例句：不爱珍器重宝肥饶之地。>
5、<形>严重
<例句：情罪重者反出在外。>
6、<形>严格
<例句：古之君子，其责己也重以周。>
7、<形>庄重
<例句：君子不重则不威，学则不固。>
8、<动>尊重
<例句：此四君者，皆明智而忠信，宽厚而爱人，尊贤而重士。>
9、<副>更加；加重
<例句：见犯乃死，重辱国。>
10、<形>重叠
<例句：重岩叠嶂，隐天蔽日。>
11、<量>层
<例句：卷我屋上三重茅。>
12、<副>重新；再次
<例句：添酒回灯重开宴。>
13、<动>拖累；牵连
<例句：事发相重，岂不危哉。>
",1
20,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，【子】庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,子,"1、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
2、<名>孩子
<例句：率妻子邑人来此绝境。>
3、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
4、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
5、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
6、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
7、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
8、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
9、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
10、<名>孩子
<例句：率妻子邑人来此绝境。>
11、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
12、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
13、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
14、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
15、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
16、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
17、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
18、<名>孩子
<例句：率妻子邑人来此绝境。>
19、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
20、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
21、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
22、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
23、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
24、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
",2 0
21,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶【民】则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,民,"1、<名>古指奴隶，泛指庶民百姓
<例句：古者有四民：有士民，有商民，有农民，有工民。>
2、<名>人
<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>
",1
22,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民【则】百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",1
23,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则【百】姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,百,"1、<数>十个十
2、<数>概数
<例句：是故百战百胜非善之善者也。>
3、<数>十个十
4、<数>概数
<例句：是故百战百胜非善之善者也。>
",2
24,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓【劝】，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,劝,"1、<动>鼓励；勉励
<例句：于是太公劝其女功，极技巧。>
<例句：各劝其业。>
2、<动>劝说
<例句：劝君更尽一杯酒，西出阳关无故人。>
",0
25,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，【来】百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,来,"1、<名>麦子
<例句：贻我来牟，帝命率育。>
2、<动>来到
<例句：谈笑有鸿儒，往来无白丁。>
3、<动使动>使……来；招致
<例句：将何以来远方之贤良？>
4、<形>将来的；未来的
<例句：将藏之于家，使来者读之，悲予志焉。>
5、<语助>以来，表示从过去某时到现在的一段时间
<例句：自李唐来，世人甚爱牡丹。>
6、<语助>无实义，相当于“咧”、“吧”
<例句：归去来兮，田园将芜胡不归？>
",3
26,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来【百】工则财用足，柔远人则四方归之，怀诸侯则天下畏之,百,"1、<数>十个十
2、<数>概数
<例句：是故百战百胜非善之善者也。>
3、<数>十个十
4、<数>概数
<例句：是故百战百胜非善之善者也。>
",2
27,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百【工】则财用足，柔远人则四方归之，怀诸侯则天下畏之,工,"1、<名>工匠、手工业者
<例句：得赵人徐夫人之匕首，取之百金，使工以药淬之。>
<例句：巫医乐师百工之人，不耻相师。>
<例句：而渔工水师虽知而不能言。>
2、<名>纺织、刺绣、雕刻等手工艺方而的工作
<例句：处女操工事者几何人？>
3、<名>乐工；乐人
<例句：使工为之歌《周南》、《召南》。>
4、<形>精；精巧
<例句：纵豆蔻词工，青楼梦好，难赋深情。>
5、<动>善于；擅长
<例句：江南弟子，最工轻薄。>
<例句：善画者多工书而能诗。>
<例句：宋，怀庆青华镇人，工技击。>
6、<名>官吏
<例句：百工熙哉。>
7、<名>通“功”
<例句：此言多资之易为工也。>
",1
28,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工【则】财用足，柔远人则四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",1
29,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财【用】足，柔远人则四方归之，怀诸侯则天下畏之,用,"1、<动>使用
<例句：察邻国之政，无如寡人之用心也。>
2、<动>任用
<例句：忠不必用兮，贤不必以。>
3、<动>效力
<例句：吴广素爱人，士卒多为用者。>
4、<动>需要，多用于否定
<例句：木兰不用尚书郎。>
5、<名>才能
<例句：彼虽善是，其用不足称也。>
6、<名>资财
<例句：强本而节用。>
7、<名>用处；作用
<例句：此率民出于无用者，何至今不杀乎。>
8、<介>根据；凭
<例句：何用识夫婿。>
9、<介>因为；由于
<例句：非蛇蟮之穴无可寄托者，用心躁也。>
10、<介>在
<例句：古法采草药多用二月、八月，此殊未当。>
",0
30,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用【足】，柔远人则四方归之，怀诸侯则天下畏之,足,"1、<名>脚
<例句：假舆马者，非利足也，而致千里。>
<例句：郑人有欲买履者，先自度其足而置之其坐。>
2、<名>动物的脚
<例句：细若蚊足，钩画了了。>
3、<名>器物的支撑部分
<例句：如此则荆吴之势强，鼎足之形成矣。>
4、<形>充足
<例句：是其为人，哀鳏寡，恤孤独，补不足。>
5、<形>满足
<例句：吾庐独破受冻死亦足。>
<例句：快然自足。>
6、<副>足够
<例句：料大王士卒足以当项王乎？>
<例句：兵精粮多，足以立事。>
7、<副>值得
<例句：不足为外人道也。>
<例句：如有周公之才之美，使骄且吝，其余不足观也已。>
8、<名>脚
<例句：假舆马者，非利足也，而致千里。>
<例句：郑人有欲买履者，先自度其足而置之其坐。>
9、<名>动物的脚
<例句：细若蚊足，钩画了了。>
10、<名>器物的支撑部分
<例句：如此则荆吴之势强，鼎足之形成矣。>
11、<形>充足
<例句：是其为人，哀鳏寡，恤孤独，补不足。>
12、<形>满足
<例句：吾庐独破受冻死亦足。>
<例句：快然自足。>
13、<副>足够
<例句：料大王士卒足以当项王乎？>
<例句：兵精粮多，足以立事。>
14、<副>值得
<例句：不足为外人道也。>
<例句：如有周公之才之美，使骄且吝，其余不足观也已。>
",4
31,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，【柔】远人则四方归之，怀诸侯则天下畏之,柔,"1、<形>草木始生；稚嫩
<例句：遵彼微行，爰求柔桑。>
2、<形>柔软；柔弱
<例句：吾理天下，亦欲以柔道行。>
3、<形>和；顺
<例句：然则柔风甘雨乃至，百姓乃寿。>
4、<动>安抚
<例句：宽惠柔民，弗若也。>
",4
