句子,字,释义,例子,正确选项（填序号）：,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
天命之谓性，率性之【谓】道，修道之谓教,谓,1、<动>告诉；对……说,<例句：请往谓项王，言沛公不敢项王也。>,3,,
,,2、<动>说,<例句：因得观所谓石钟山者。>,,,
,,3、<动>叫做；称为,<例句：褒禅山亦谓之华山。>,,,
,,4、<动>以为；认为,<例句：愚谓大计不如迎之。>,,,
,,5、<动>是；说的是,<例句：太守谓谁？>,,,
天命之谓性，率性之谓道，【修】道之谓教,修,1、<动>修饰,<例句：参为人矜严，好修容仪。>,0,,
,,2、<动>撰写；修改；润色,<例句：幕下儒生设意修词，援古证今，极力为之。>,,,
,,3、<动>修理；修造；修建,<例句：修守战之具。>,,,
,,4、<动>整治；治理,<例句：外结好孙权，内修政理。>,,,
,,5、<动>修养；修行,<例句：臣修身洁行数十年。>,,,
,,6、<动>效法；学习,<例句：一善易修也，一艺易能也。>,,,
,,7、<形>长；高,<例句：此地有崇山峻岭，茂林修竹。>,,,
,,8、<形>善；美好,<例句：老冉冉其将至，恐修名之不立。>,,,
天命之谓性，率性之谓道，修道【之】谓教,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,4,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
天命之谓性，率性之谓道，修道之【谓】教,谓,1、<动>告诉；对……说,<例句：请往谓项王，言沛公不敢项王也。>,3,,
,,2、<动>说,<例句：因得观所谓石钟山者。>,,,
,,3、<动>叫做；称为,<例句：褒禅山亦谓之华山。>,,,
,,4、<动>以为；认为,<例句：愚谓大计不如迎之。>,,,
,,5、<动>是；说的是,<例句：太守谓谁？>,,,
天命之谓性，率性之谓道，修道之谓【教】,教,1、<名>教化；教育,<例句：是故学然后知不足，教然后知困。>,1,,
,,2、<动>教导；教诲,<例句：爱其子，择师而教之。>,,,
,,3、<动>指示；指点,<例句：得无教我猎虫所耶？>,,,
,,4、<动>教授；传授知识技能,<例句：十三教汝织，十四能裁衣。>,,,
,,5、<动>使；令；让,<例句：曲罢曾教善才服，妆成每被秋娘妒。>,,,
,,,<例句：但使龙城飞将在，不教胡马度阴山。>,,,
,,6、<名>教化；教育,<例句：是故学然后知不足，教然后知困。>,,,
,,7、<动>教导；教诲,<例句：爱其子，择师而教之。>,,,
,,8、<动>指示；指点,<例句：得无教我猎虫所耶？>,,,
,,9、<动>教授；传授知识技能,<例句：十三教汝织，十四能裁衣。>,,,
,,10、<动>使；令；让,<例句：曲罢曾教善才服，妆成每被秋娘妒。>,,,
,,,<例句：但使龙城飞将在，不教胡马度阴山。>,,,
道【也】者，不可须臾离也，可离非道也,也,1、表示判断语气的。,<例句：死生，昼夜事也。>,6,,
,,,<例句：吾师肺肝，皆铁石所铸造也。>,,,
,,2、表示肯定语气的。,<例句：昔人云："将以有为也。">,,,
,,,<例句：吾上恐负朝廷，下恐愧吾师也。>,,,
,,3、就是有否定词的句子，仍然是一种表否定的肯定。,<例句：众曰："若所为诚快，然使君冤未白，犹无益也。">,,,
,,4、表示疑问语气的。,<例句：吾王庶几无疾病与，何以能鼓乐也？>,,,
,,,<例句：公子畏死邪？何泣也？>,,,
,,5、表示感叹语气的。,<例句：吾王之好田猎，夫何使我至于此极也！>,,,
,,,<例句：君美甚，徐公何能及君也！>,,,
,,6、用在句中，表示停顿，以舒缓语气。,<例句：当余之从师也，负箧曳屣，行深山巨谷中……>,,,
,,,<例句：师道之不传也久矣。>,,,
道也【者】，不可须臾离也，可离非道也,者,1、助词，主要有两种用法。一种是附在别的词或短语之后，组成名词性短语。,<例句：将藏之于家，使来者读之，悲予志焉。>,2,,
,,,<例句：用叶者取叶初长足时，用芽者自从本说，用花者取花初敷时，用实者成实时采。>,,,
,,2、"者"的另一种用法是放在一个词或一组词后边，起提顿作用，先用"……者"提出在说明的事物，稍微停顿一下，然后说明或论断。,<例句：大阉之乱，缙绅而能不易其志者，四海之大，有几人欤？>,,,
,,,<例句：古之让天子者，是去监门之养而离臣虏之劳也。>,,,
,,3、"者"有时放在时间副词之后，起语助作用，可不译。,<例句：今者项庄拔剑舞，其意常在沛公也。>,,,
,,4、"者"有时放在数词后边，可译为"个""样"之类。,<例句：此数者用兵之患也，而操皆冒行之。>,,,
道也者，【不】可须臾离也，可离非道也,不,"2、<副>没有,表存在的否定",<例句：今日出而从日中不决何也?>,3,,
,,"3、<副>不是,表否定判断",<例句：又何往而不金玉其外败絮其中也哉。>,,,
,,5、<助>在句末表询问,<例句：秦王以十五城请易寡人之璧可予不?>,,,
,,6、<副>用在句中表否定,<例句：不者若属皆为所虏。>,,,
,,,<例句：或师焉或不焉。>,,,
道也者，不【可】须臾离也，可离非道也,可,1、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,1,,
,,2、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,3、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,4、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,5、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,6、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,7、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,8、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
,,10、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,,,
,,11、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,12、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,13、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,14、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,15、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,16、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,17、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
道也者，不可【须】臾离也，可离非道也,须,1、<名>胡须；胡子,<例句：行者见罗敷，下担捋髭须。>,0,,
,,2、<名>动物的触须,<例句：俄见小虫跃起，张尾伸须。>,,,
,,3、<动>等待,<例句：人涉卬否，卬须我友。>,,,
,,4、<动>需要,<例句：且放白鹿青崖间，须行即骑访名山。>,,,
,,5、<副>应该,<例句：羌笛何须怨杨柳，春风不度玉门关。>,,,
,,6、<副>本是,<例句：你须身姓刘，你妻须姓吕。>,,,
,,7、<副>却,<例句：到丞相面前须分不得功。>,,,
道也者，不可须臾【离】也，可离非道也,离,1、<动>分离；分散,<例句：父子不相见，兄弟妻子离散。>,4,,
,,2、<动>离开；离别,<例句：今当远离，临表涕零。>,,,
,,3、<动>距离；相隔,<例句：只是小家离得远了。>,,,
,,4、<动>背离；违背,<例句：如有离违，宜别图之。>,,,
,,5、<动>通“罹”,<例句：‘离骚’者，犹离忧也。>,,,
,,,<例句：昔年疾疫，亲故多离其灾。>,,,
道也者，不可须臾离【也】，可离非道也,也,1、表示判断语气的。,<例句：死生，昼夜事也。>,1,,
,,,<例句：吾师肺肝，皆铁石所铸造也。>,,,
,,2、表示肯定语气的。,<例句：昔人云："将以有为也。">,,,
,,,<例句：吾上恐负朝廷，下恐愧吾师也。>,,,
,,3、就是有否定词的句子，仍然是一种表否定的肯定。,<例句：众曰："若所为诚快，然使君冤未白，犹无益也。">,,,
,,4、表示疑问语气的。,<例句：吾王庶几无疾病与，何以能鼓乐也？>,,,
,,,<例句：公子畏死邪？何泣也？>,,,
,,5、表示感叹语气的。,<例句：吾王之好田猎，夫何使我至于此极也！>,,,
,,,<例句：君美甚，徐公何能及君也！>,,,
,,6、用在句中，表示停顿，以舒缓语气。,<例句：当余之从师也，负箧曳屣，行深山巨谷中……>,,,
,,,<例句：师道之不传也久矣。>,,,
道也者，不可须臾离也，【可】离非道也,可,1、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,1,,
,,2、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,3、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,4、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,5、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,6、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,7、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,8、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
,,10、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,,,
,,11、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,12、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,13、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,14、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,15、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,16、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,17、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
道也者，不可须臾离也，可【离】非道也,离,1、<动>分离；分散,<例句：父子不相见，兄弟妻子离散。>,1,,
,,2、<动>离开；离别,<例句：今当远离，临表涕零。>,,,
,,3、<动>距离；相隔,<例句：只是小家离得远了。>,,,
,,4、<动>背离；违背,<例句：如有离违，宜别图之。>,,,
,,5、<动>通“罹”,<例句：‘离骚’者，犹离忧也。>,,,
,,,<例句：昔年疾疫，亲故多离其灾。>,,,
道也者，不可须臾离也，可离【非】道也,非,1、<形>不对;不正确,<例句：实迷途其未远觉今是而昨非。>,2,,
,,"2、<副>不,不是",<例句：是不为也非不能也。>,,,
,,3、<副>除非;除了,<例句：以为非我莫能为也。>,,,
,,,<例句：非刘豫州莫可以当曹操者。>,,,
,,4、<动>无;没有,<例句：君子生非异也善假如物也。>,,,
,,"5、<助>表疑问语气,同“否”",<例句：此言与实反者非?>,,,
,,"6、通“诽”,诽谤",<例句：入则心非出则巷议。>,,,
道也者，不可须臾离也，可离非道【也】,也,1、表示判断语气的。,<例句：死生，昼夜事也。>,1,,
,,,<例句：吾师肺肝，皆铁石所铸造也。>,,,
,,2、表示肯定语气的。,<例句：昔人云："将以有为也。">,,,
,,,<例句：吾上恐负朝廷，下恐愧吾师也。>,,,
,,3、就是有否定词的句子，仍然是一种表否定的肯定。,<例句：众曰："若所为诚快，然使君冤未白，犹无益也。">,,,
,,4、表示疑问语气的。,<例句：吾王庶几无疾病与，何以能鼓乐也？>,,,
,,,<例句：公子畏死邪？何泣也？>,,,
,,5、表示感叹语气的。,<例句：吾王之好田猎，夫何使我至于此极也！>,,,
,,,<例句：君美甚，徐公何能及君也！>,,,
,,6、用在句中，表示停顿，以舒缓语气。,<例句：当余之从师也，负箧曳屣，行深山巨谷中……>,,,
,,,<例句：师道之不传也久矣。>,,,
是【故】君子戒慎乎其所不睹，恐惧乎其所不闻,故,1、<名>事故；变故,<例句：今也不幸至于大故。>,2,,
,,,<例句：乡园多故，不能不动客子之愁。>,,,
,,2、<名>缘故；原因,<例句：赵王岂以一璧之故欺秦邪？>,,,
,,3、<形>旧；旧的；原来的,<例句：此为其故迹，岂信然邪？>,,,
,,4、<副>旧时；从前,<例句：轩东故尝为厨，人往，从轩前过。>,,,
,,5、<名>老朋友；旧交情,<例句：若非故人乎？>,,,
,,,<例句：君安与项伯有故？>,,,
,,6、<形>衰退；衰老,<例句：暮去春来颜色故。>,,,
,,7、<动>死亡；去世,<例句：目今其祖早故，只有个儿子。>,,,
,,8、<副>故意；特意,<例句：将尉醉，广故数言欲亡，忿恚尉。>,,,
,,9、<副>还是；仍然,<例句：大人故嫌迟。>,,,
,,10、<副>通“固”，本来,<例句：此物故非西产。>,,,
,,11、<连>所以；因此,<例句：其志洁，故其称物芳。>,,,
是故君【子】戒慎乎其所不睹，恐惧乎其所不闻,子,1、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,4,,
,,2、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,3、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,4、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,5、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,6、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,7、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,8、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,9、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,10、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,11、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,12、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,13、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,14、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,15、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,16、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,17、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,18、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,19、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,20、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,21、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,22、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,23、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,24、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
是故君子【戒】慎乎其所不睹，恐惧乎其所不闻,戒,1、<动>警戒；警惕；戒备,<例句：多谢后世人，戒之慎勿忘。>,1,,
,,2、<动>告诫；劝诫,<例句：三保戒团众装药实弹，毋亡发。>,,,
,,3、<动>戒除；禁戒,<例句：不念居安思危，戒奢以俭。>,,,
,,4、<动>古人在祭祀或举行庄严隆重的大事前，洁身静心、克制嗜欲以示诚敬，多“斋戒”连用,<例句：于是赵王乃斋戒五日。>,,,
,,5、<名>戒规,<例句：佛教以五戒为教，绝酒不淫。>,,,
是故君子戒【慎】乎其所不睹，恐惧乎其所不闻,慎,1、<形>谨慎；慎重,<例句：忧懈怠则思慎始而敬终。>,1,,
,,2、<副>表示告诫，用在否定句，意思是“千万”、“一定”,<例句：多谢后世人，戒之慎勿忘。>,,,
是故君子戒慎【乎】其所不睹，恐惧乎其所不闻,乎,1、表疑问语气，可译为"吗""呢"。,<例句：儿寒乎？欲食乎？>,9,,
,,,<例句：岂有相公此时出见客乎？>,,,
,,,<例句：欲安所归乎？>,,,
,,2、表测度语气，可译为"吧"。,<例句：王之好乐甚，则齐其庶几乎。>,,,
,,,<例句：其皆出于此乎？>,,,
,,3、用于感叹句，可译为"啊""呀"等。,<例句：呜呼！孰知赋敛之毒有甚是蛇者乎！>,,,
,,4、用在句中的停顿处。,<例句：胡为乎遑遑欲何之？>,,,
,,5、表反问语气，“吗”“呢”。,<例句：夫庸知其年之先后生于吾乎？>,,,
,,6、表婉商语气，“吗”。,<例句：举大计亦死，等死，死国可乎>,,,
,,7、用于祈使句，可不译。,<例句：长铗归来乎﹗出无车>,,,
,,8、在。,<例句：出，跳梁乎井干之上。>,,,
,,9、对、对于。,<例句：吾尝疑乎是。>,,,
,,10、比。,<例句：其闻道也固先乎吾，吾从而师之。>,,,
,,11、此外，可作词尾。,<例句：恢恢乎其于游刃必有余地矣！>,,,
是故君子戒慎乎【其】所不睹，恐惧乎其所不闻,其,2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。,<例句：秦王恐其破璧（《廉颇蔺相如列传》）"其破璧"作宾语）\n>,2,,
,,3、的"。,<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>,,,
,,,<例句：而余亦悔其随之而不得极夫游之乐也。>,,,
,,4、指示代词，表远指。作定语，可译为"那""那个""那些""那里"。,<例句：则或咎其欲出者。>,,,
,,,<例句：今操得荆州，奄有其地。>,,,
,,5、指示代词，表示"其中的"，后面多为数词。,<例句：于乱石间择其一二扣之。>,,,
,,6、指示代词，表示近指，相当于“这”，“这个”，“这些”。,<例句：有蒋氏者，专其利三世矣。>,,,
是故君子戒慎乎其【所】不睹，恐惧乎其所不闻,所,1、经常放在动词前，同动词结合，组成"所"字结构。"所"字结构是名词性短语，表示"所……的人"、"所……的事物"、"所……的情况"等。,<例句：于众人广坐之中，不宜有所过，今公子故过之。>,1,,
,,,<例句：故余虽愚，卒获有所闻。>,,,
,,,<例句：余在患难中，间以诗记所遭。>,,,
,,2、"所"和动词结合，后面再有名词性结构，则所字结构起定语的作用。,<例句：夜则以兵围所寓舍。>,,,
,,,<例句：臣所过屠者朱亥，此子贤者，世莫能知，故隐屠闻耳。>,,,
,,3、在有些句子中，"为"和"所"呼应，组成"为……所……"的格式，表示被动。,<例句：贾家庄几为巡徼所陵迫死。>,,,
,,,<例句：嬴闻如姬父为人所杀。>,,,
,,4、表示原因的。,<例句：亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。>,,,
,,,<例句：吾所以为此者，以先国家之急而后私仇也。>,,,
,,,<例句：臣所以去亲戚而事君者，徒慕君之高义也。>,,,
,,,<例句：所以遣将守关者，备他盗之出入与非常也。>,,,
,,5、表示手段或凭借的。,<例句：吾所以待侯生者备矣，……>,,,
,,,<例句：师者，所以传道受业解惑也。>,,,
,,6、【所谓】所说的。,<例句：此所谓战胜于朝廷。>,,,
,,,<例句：非吾所谓传其道解其惑者也。>,,,
,,7、到处。,<例句：石之铿然有声音者，所在皆是也。>,,,
,,8、所在之处，处所。,<例句：原来有这等一个所在，且回衙去>,,,
,,,<例句：急趋之，折过墙隅，迷其所在。>,,,
是故君子戒慎乎其所【不】睹，恐惧乎其所不闻,不,"2、<副>没有,表存在的否定",<例句：今日出而从日中不决何也?>,2,,
,,"3、<副>不是,表否定判断",<例句：又何往而不金玉其外败絮其中也哉。>,,,
,,5、<助>在句末表询问,<例句：秦王以十五城请易寡人之璧可予不?>,,,
,,6、<副>用在句中表否定,<例句：不者若属皆为所虏。>,,,
,,,<例句：或师焉或不焉。>,,,
是故君子戒慎乎其所不睹，【恐】惧乎其所不闻,恐,1、<动>恐惧；害怕,<例句：赵王恐，不敢不献。>,1,,
,,2、<动>恐吓；吓唬,<例句：李斯因说秦王，请先取韩以恐他国。>,,,
,,3、<动>恐怕；担忧,<例句：欲予秦，秦城恐不可得。>,,,
,,,<例句：吾上恐负朝廷，下恐恐愧吾师。>,,,
,,4、<副>恐怕；大概会,<例句：君有疾在腠理，不治将恐深。>,,,
是故君子戒慎乎其所不睹，恐【惧】乎其所不闻,惧,1、<动>恐惧；害怕,<例句：阻而鼓之，不亦可乎?犹有惧焉>,1,,
,,,<例句：民不畏死，奈何以死惧之。>,,,
,,2、<动>担心；忧虑,<例句：惧满溢则思江海下百川。>,,,
是故君子戒慎乎其所不睹，恐惧【乎】其所不闻,乎,1、表疑问语气，可译为"吗""呢"。,<例句：儿寒乎？欲食乎？>,9,,
,,,<例句：岂有相公此时出见客乎？>,,,
,,,<例句：欲安所归乎？>,,,
,,2、表测度语气，可译为"吧"。,<例句：王之好乐甚，则齐其庶几乎。>,,,
,,,<例句：其皆出于此乎？>,,,
,,3、用于感叹句，可译为"啊""呀"等。,<例句：呜呼！孰知赋敛之毒有甚是蛇者乎！>,,,
,,4、用在句中的停顿处。,<例句：胡为乎遑遑欲何之？>,,,
,,5、表反问语气，“吗”“呢”。,<例句：夫庸知其年之先后生于吾乎？>,,,
,,6、表婉商语气，“吗”。,<例句：举大计亦死，等死，死国可乎>,,,
,,7、用于祈使句，可不译。,<例句：长铗归来乎﹗出无车>,,,
,,8、在。,<例句：出，跳梁乎井干之上。>,,,
,,9、对、对于。,<例句：吾尝疑乎是。>,,,
,,10、比。,<例句：其闻道也固先乎吾，吾从而师之。>,,,
,,11、此外，可作词尾。,<例句：恢恢乎其于游刃必有余地矣！>,,,
是故君子戒慎乎其所不睹，恐惧乎【其】所不闻,其,2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。,<例句：秦王恐其破璧（《廉颇蔺相如列传》）"其破璧"作宾语）\n>,2,,
,,3、的"。,<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>,,,
,,,<例句：而余亦悔其随之而不得极夫游之乐也。>,,,
,,4、指示代词，表远指。作定语，可译为"那""那个""那些""那里"。,<例句：则或咎其欲出者。>,,,
,,,<例句：今操得荆州，奄有其地。>,,,
,,5、指示代词，表示"其中的"，后面多为数词。,<例句：于乱石间择其一二扣之。>,,,
,,6、指示代词，表示近指，相当于“这”，“这个”，“这些”。,<例句：有蒋氏者，专其利三世矣。>,,,
是故君子戒慎乎其所不睹，恐惧乎其【所】不闻,所,1、经常放在动词前，同动词结合，组成"所"字结构。"所"字结构是名词性短语，表示"所……的人"、"所……的事物"、"所……的情况"等。,<例句：于众人广坐之中，不宜有所过，今公子故过之。>,1,,
,,,<例句：故余虽愚，卒获有所闻。>,,,
,,,<例句：余在患难中，间以诗记所遭。>,,,
,,2、"所"和动词结合，后面再有名词性结构，则所字结构起定语的作用。,<例句：夜则以兵围所寓舍。>,,,
,,,<例句：臣所过屠者朱亥，此子贤者，世莫能知，故隐屠闻耳。>,,,
,,3、在有些句子中，"为"和"所"呼应，组成"为……所……"的格式，表示被动。,<例句：贾家庄几为巡徼所陵迫死。>,,,
,,,<例句：嬴闻如姬父为人所杀。>,,,
,,4、表示原因的。,<例句：亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。>,,,
,,,<例句：吾所以为此者，以先国家之急而后私仇也。>,,,
,,,<例句：臣所以去亲戚而事君者，徒慕君之高义也。>,,,
,,,<例句：所以遣将守关者，备他盗之出入与非常也。>,,,
