sentence,label
"('故人不独亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、“孤”、独、废疾者皆有所养，男有分，女有归', '孤：幼而无父的人')",1
"('故人不“独”亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、孤、独、废疾者皆有所养，男有分，女有归', '独：老而无子的人')",1
"('故人不独亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、孤、独、“废疾”者皆有所养，男有分，女有归', '废疾：残疾人')",1
"('故人不独亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、孤、独、废疾者皆有所养，男有“分”，女有归', '分：职分，指职业职守')",1
"('故人不独亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、孤、独、废疾者皆有所养，男有分，女有“归”', '归：指女子出嫁')",1
"('货“恶”其弃于地也，不必藏于己', '恶：憎恶')",1
"('货恶其弃于地也，不必“藏”于己', '藏：私藏')",1
"('“是故”谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同', '是故：因此，所以，这样一来')",1
"('是故谋“闭”而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同', '闭：杜绝')",1
"('是故谋闭而不“兴”，盗窃乱贼而不作，故外户而不闭，是谓大同', '兴：发生')",1
"('是故谋闭而不兴，盗窃乱贼而不“作”，故外户而不闭，是谓大同', '作：兴起')",1
"('是“故”谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同', '故：所以')",1
"('是故谋闭而不兴，盗窃乱贼而不作，故“外户”而不闭，是谓大同', '外户：从外面把门带上')",1
"('是故谋“闭”而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同', '闭：用门闩插上')",1
"('是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是“谓”大同', '谓：叫做')",1
"('是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓“大同”', '大同：指儒家的理想社会或人类社会最高准则')",1
"('是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大“同”', '同：有和平的意思')",1
"('二则北“冥”有鱼北冥有鱼，其名为鲲', '冥：通假溟，指海色深黑')",1
"('二则“北冥”有鱼北冥有鱼，其名为鲲', '北冥：北海')",1
"('“鲲”之大，不知其几千里也', '鲲：传说中的大鱼')",1
"('鲲“之”大，不知其几千里也', '之：主谓之间取消句子独立性')",1
"('鲲之大，不知“其”几千里也', '其：表推测')",1
"('化而为鸟，其名为“鹏”', '鹏：本为古凤字，这里指传说中的大鸟')",1
"('“怒”而飞，其翼若垂天之云', '怒：奋起的样子，这里指鼓起翅膀')",1
"('怒而飞，其翼若“垂”天之云', '垂：同陲，边际')",1
"('是鸟也，“海运”则将徙于南冥', '海运：海动')",1
"('是鸟也，海运则将“徙”于南冥', '徙：迁移')",1
"('南冥者，“天池”也', '天池：天然形成的大海')",1
"('《齐谐》者，“志怪”者也', '志怪：记载怪异的事物')",1
"('《齐谐》者，“志”怪者也', '志：记载')",1
"('《谐》之言曰：鹏之徙于南冥也，“水击”三千里，抟扶摇而上者九万里，去以六月息者也', '水击：指鹏鸟的翅膀拍击水面')",1
"('《谐》之言曰：鹏之徙于南冥也，水“击”三千里，抟扶摇而上者九万里，去以六月息者也', '击：拍打')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，“抟”扶摇而上者九万里，去以六月息者也', '抟：回旋而上')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟“扶摇”而上者九万里，去以六月息者也', '扶摇：一种旋风，又名飙，由地面急剧盘旋而上的暴风')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者“九”万里，去以六月息者也', '九：表虚数，不是实指')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，“去”以六月息者也', '去：离，这里指离开北海')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去“以”六月息者也', '以：凭借')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去以六月“息”者也', '息：风')",1
"('“野马”也，尘埃也，生物之以息相吹也', '野马：指游动的雾气')",1
"('野马也，“尘埃”也，生物之以息相吹也', '尘埃：扬在空中的土叫尘，细碎的尘粒叫埃')",1
"('野马也，尘埃也，“生物”之以息相吹也', '生物：概指各种有生命的东西')",1
"('野马也，尘埃也，生物之以“息”相吹也', '息：这里指有生命的东西呼吸所产生的气息')",1
"('野马也，尘埃也，生物之以息“相”吹也', '相：互相')",1
"('野马也，尘埃也，生物之以息相“吹”也', '吹：吹拂')",1
"('天之“苍苍”，其正色邪', '苍苍：深蓝')",1
"('天之苍苍，其“正色”邪', '正色：真正的颜色')",1
"('天之苍苍，其正色“邪”', '邪：同耶，疑问语气词')",1
"('其远而无所至“极”邪', '极：尽')",1
"('其视“下”也，亦若是则已矣', '下：向下')",1
"('其视下也，“亦”若是则已矣', '亦：也')",1
"('其视下也，亦若“是”则已矣', '是：这样')",1
"('其视下也，亦若是则“已”矣', '已：罢了')",1
"('庄子曰：鲦鱼出游“从容”，是鱼之乐也', '从容：悠闲自得')",1
"('庄子曰：鲦鱼出游从容，“是”鱼之乐也', '是：这')",1
"('子固非鱼也，子之不知鱼之乐，“全”矣', '全：完全，完备')",1
"('庄子曰：请“循”其本', '循：追溯')",1
"('庄子曰：请循“其”本', '其：话题')",1
"('庄子曰：请循其“本”', '本：本源')",1
"('子曰‘汝安知鱼乐’“云者”，既已知吾知之而问我', '云者：如此')",1
"('子曰‘汝“安”知鱼乐’云者，既已知吾知之而问我', '安：疑问代词')",1
"('子曰‘汝安知鱼乐’云者，既已知吾知“之”而问我', '之：助词无实意')",1
"('子曰‘汝安知鱼乐’云者，“既”已知吾知之而问我', '既：已经')",1
"('子曰‘汝安知鱼乐’云者，既“已”知吾知之而问我', '已：已经')",1
"('子曰‘汝“安”知鱼乐’云者，既已知吾知之而问我', '安：怎么哪里')",1
"('北“冥”有鱼北冥有鱼，其名为鲲', '冥：通假溟，指海色深黑')",1
"('“北冥”有鱼北冥有鱼，其名为鲲', '北冥：北海')",1
"('“鲲”之大，不知其几千里也', '鲲：传说中的大鱼')",1
"('鲲“之”大，不知其几千里也', '之：主谓之间取消句子独立性')",1
"('鲲之大，不知“其”几千里也', '其：表推测')",1
"('化而为鸟，其名为“鹏”', '鹏：本为古凤字，这里指传说中的大鸟')",1
"('“怒”而飞，其翼若垂天之云', '怒：奋起的样子，这里指鼓起翅膀')",1
"('怒而飞，其翼若“垂”天之云', '垂：同陲，边际')",1
"('是鸟也，“海运”则将徙于南冥', '海运：海动')",1
"('是鸟也，海运则将“徙”于南冥', '徙：迁移')",1
"('南冥者，“天池”也', '天池：天然形成的大海')",1
"('《齐谐》者，“志怪”者也', '志怪：记载怪异的事物')",1
"('《齐谐》者，“志”怪者也', '志：记载')",1
"('《谐》之言曰：鹏之徙于南冥也，“水击”三千里，抟扶摇而上者九万里，去以六月息者也', '水击：指鹏鸟的翅膀拍击水面')",1
"('《谐》之言曰：鹏之徙于南冥也，水“击”三千里，抟扶摇而上者九万里，去以六月息者也', '击：拍打')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，“抟”扶摇而上者九万里，去以六月息者也', '抟：回旋而上')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟“扶摇”而上者九万里，去以六月息者也', '扶摇：一种旋风，又名飙，由地面急剧盘旋而上的暴风')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者“九”万里，去以六月息者也', '九：表虚数，不是实指')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，“去”以六月息者也', '去：离，这里指离开北海')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去“以”六月息者也', '以：凭借')",1
"('《谐》之言曰：鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去以六月“息”者也', '息：风')",1
"('“野马”也，尘埃也，生物之以息相吹也', '野马：指游动的雾气')",1
"('野马也，“尘埃”也，生物之以息相吹也', '尘埃：扬在空中的土叫尘，细碎的尘粒叫埃')",1
"('野马也，尘埃也，“生物”之以息相吹也', '生物：概指各种有生命的东西')",1
"('野马也，尘埃也，生物之以“息”相吹也', '息：这里指有生命的东西呼吸所产生的气息')",1
"('野马也，尘埃也，生物之以息“相”吹也', '相：互相')",1
"('野马也，尘埃也，生物之以息相“吹”也', '吹：吹拂')",1
"('天之“苍苍”，其正色邪', '苍苍：深蓝')",1
"('天之苍苍，其“正色”邪', '正色：真正的颜色')",1
"('天之苍苍，其正色“邪”', '邪：同耶，疑问语气词')",1
"('其远而无所至“极”邪', '极：尽')",1
"('其视“下”也，亦若是则已矣', '下：向下')",1
"('其视下也，“亦”若是则已矣', '亦：也')",1
"('其视下也，亦若“是”则已矣', '是：这样')",1
"('其视下也，亦若是则“已”矣', '已：罢了')",1
"('子路、曾皙，冉有、公西华“侍”坐', '侍：侍奉，本指侍立于尊者之旁')",1
"('子路、曾皙，冉有、公西华“侍坐”', '侍坐：此处指执弟子之礼，侍奉老师而坐')",1
"('子曰：以吾一日“长”乎尔，毋吾以也', '长：年长')",1
"('子曰：“以”吾一日长乎尔，毋吾以也', '以：动词，用')",1
"('居“则”曰：‘不吾知也', '则：就')",1
"('’“如或”知尔，则何以哉', '如或：如果有人')",1
"('’“如”或知尔，则何以哉', '如：假如')",1
"('’如“或”知尔，则何以哉', '或：无定代词，有人')",1
"('’如或知尔，“则”何以哉', '则：连词，那么，就')",1
"('’如或知尔，则“何以”哉', '何以：用什么')",1
"('’如或知尔，则何“以”哉', '以：动词，用')",1
"('子路“率尔”而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以饥馑', '率尔：不假思索的样子')",1
"('子路率尔而对曰：千“乘”之国，摄乎大国之间，加之以师旅，因之以饥馑', '乘：兵车')",1
"('子路率尔而对曰：千乘之国，摄“乎”大国之间，加之以师旅，因之以饥馑', '乎：于，在')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，“加”之以师旅，因之以饥馑', '加：加在上面')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以“师旅”，因之以饥馑', '师旅：军队，此特指侵略的军队')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，“因”之以饥馑', '因：动词，接着')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以“饥馑”', '饥馑：饥荒')",1
"('由也为之，比及三年，可使有勇，“且”知方也', '且：连词，并且')",1
"('由也为之，比及三年，可使有勇，且知“方”也', '方：道，义方指是非准则')",1
"('夫子“哂”之', '哂：微笑，这里略带讥讽')",1
"('对曰：“方”六七十，如五六十，求也为之，比及三年，可使足民', '方：见方，纵横')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表选择，或者')",1
"('对曰：方六七十，如五六十，求也为之，比及三年，可使“足”民', '足：使……富足')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表提起另一话题，作至于讲')",1
"('如“其”礼乐，以俟君子', '其：那')",1
"('如其礼乐，“以”俟君子', '以：把')",1
"('如其礼乐，以“俟”君子', '俟：等待')",1
"('对曰：非曰“能”之，愿学焉', '能：动词，能做到')",1
"('对曰：非曰能之，愿学“焉”', '焉：这里作指示代词兼语气词，指代下文小相这种工作')",1
"('宗庙之事，“如”会同，端章甫，愿为小相焉', '如：连词，或者')",1
"('宗庙之事，如“会”同，端章甫，愿为小相焉', '会：诸侯之间的盟会')",1
"('宗庙之事，如会“同”，端章甫，愿为小相焉', '同：诸侯共同朝见天子')",1
"('宗庙之事，如会同，“端”章甫，愿为小相焉', '端：古代的一种礼服')",1
"('宗庙之事，如会同，端“章甫”，愿为小相焉', '章甫：古代的一种礼帽')",1
"('宗庙之事，如会同，端章甫，“愿”为小相焉', '愿：愿意')",1
"('宗庙之事，如会同，端章甫，愿为小“相”焉', '相：在祭祀会盟或朝见天子时主持赞礼和司仪的人')",1
"('宗庙之事，如会同，端章甫，愿为小相“焉”', '焉：兼词，于是，在这些场合里')",1
"('“鼓”瑟希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '鼓：弹')",1
"('鼓“瑟”希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '瑟：古乐器')",1
"('鼓瑟“希”，铿尔，舍瑟而作，对曰：异乎三子者之撰', '希：同稀，稀疏，这里指鼓瑟的声音已接近尾声')",1
"('鼓瑟希，铿尔，“舍”瑟而作，对曰：异乎三子者之撰', '舍：放下')",1
"('鼓瑟希，铿尔，舍瑟而“作”，对曰：异乎三子者之撰', '作：立起来，站起身')",1
"('鼓瑟希，铿尔，舍瑟而作，对曰：异乎三子者之“撰”', '撰：才具，才能')",1
"('子曰：何“伤”乎', '伤：妨害')",1
"('子曰：何伤“乎”', '乎：语气词，呢')",1
"('曰：“莫”春者，春服既成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '莫：通暮')",1
"('曰：莫春者，春服“既”成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '既：副词，已经')",1
"('曰：莫春者，春服既成，“冠”者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '冠：古时男子二十岁为成年，束发加冠')",1
"('曰：莫春者，春服既成，冠者“五六”人，童子六七人，浴乎沂，风乎舞雩咏而归', '五六：六七，都是虚数')",1
"('夫子喟然叹曰：吾“与”点也', '与：赞成')",1
"('三子者出，曾皙“后”', '后：动词，后出夫子何哂由也：何，为什么')",1
"('曰：为国“以”礼，其言不让，是故哂之', '以：介词')",1
"('曰：为国以礼，其言不“让”，是故哂之', '让：礼让，谦逊')",1
"('唯求则非“邦”也与', '邦：国家，这是指国家大事')",1
"('唯求则非邦也“与”', '与：同欤，疑问语气词')",1
"('子路、曾皙，冉有、公西华“侍”坐', '侍：侍奉，本指侍立于尊者之旁')",1
"('子路、曾皙，冉有、公西华“侍坐”', '侍坐：此处指执弟子之礼，侍奉老师而坐')",1
"('子曰：以吾一日“长”乎尔，毋吾以也', '长：年长')",1
"('子曰：“以”吾一日长乎尔，毋吾以也', '以：动词，用')",1
"('居“则”曰：‘不吾知也', '则：就')",1
"('’“如或”知尔，则何以哉', '如或：如果有人')",1
"('’“如”或知尔，则何以哉', '如：假如')",1
"('’如“或”知尔，则何以哉', '或：无定代词，有人')",1
"('’如或知尔，“则”何以哉', '则：连词，那么，就')",1
"('’如或知尔，则“何以”哉', '何以：用什么')",1
"('’如或知尔，则何“以”哉', '以：动词，用')",1
"('子路“率尔”而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以饥馑', '率尔：不假思索的样子')",1
"('子路率尔而对曰：千“乘”之国，摄乎大国之间，加之以师旅，因之以饥馑', '乘：兵车')",1
"('子路率尔而对曰：千乘之国，摄“乎”大国之间，加之以师旅，因之以饥馑', '乎：于，在')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，“加”之以师旅，因之以饥馑', '加：加在上面')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以“师旅”，因之以饥馑', '师旅：军队，此特指侵略的军队')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，“因”之以饥馑', '因：动词，接着')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以“饥馑”', '饥馑：饥荒')",1
"('由也为之，比及三年，可使有勇，“且”知方也', '且：连词，并且')",1
"('由也为之，比及三年，可使有勇，且知“方”也', '方：道，义方指是非准则')",1
"('夫子“哂”之', '哂：微笑，这里略带讥讽')",1
"('对曰：“方”六七十，如五六十，求也为之，比及三年，可使足民', '方：见方，纵横')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表选择，或者')",1
"('对曰：方六七十，如五六十，求也为之，比及三年，可使“足”民', '足：使……富足')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表提起另一话题，作至于讲')",1
"('如“其”礼乐，以俟君子', '其：那')",1
"('如其礼乐，“以”俟君子', '以：把')",1
"('如其礼乐，以“俟”君子', '俟：等待')",1
"('对曰：非曰“能”之，愿学焉', '能：动词，能做到')",1
"('对曰：非曰能之，愿学“焉”', '焉：这里作指示代词兼语气词，指代下文小相这种工作')",1
"('宗庙之事，“如”会同，端章甫，愿为小相焉', '如：连词，或者')",1
"('宗庙之事，如“会”同，端章甫，愿为小相焉', '会：诸侯之间的盟会')",1
"('宗庙之事，如会“同”，端章甫，愿为小相焉', '同：诸侯共同朝见天子')",1
"('宗庙之事，如会同，“端”章甫，愿为小相焉', '端：古代的一种礼服')",1
"('宗庙之事，如会同，端“章甫”，愿为小相焉', '章甫：古代的一种礼帽')",1
"('宗庙之事，如会同，端章甫，“愿”为小相焉', '愿：愿意')",1
"('宗庙之事，如会同，端章甫，愿为小“相”焉', '相：在祭祀会盟或朝见天子时主持赞礼和司仪的人')",1
"('宗庙之事，如会同，端章甫，愿为小相“焉”', '焉：兼词，于是，在这些场合里')",1
"('“鼓”瑟希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '鼓：弹')",1
"('鼓“瑟”希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '瑟：古乐器')",1
"('鼓瑟“希”，铿尔，舍瑟而作，对曰：异乎三子者之撰', '希：同稀，稀疏，这里指鼓瑟的声音已接近尾声')",1
"('鼓瑟希，铿尔，“舍”瑟而作，对曰：异乎三子者之撰', '舍：放下')",1
"('鼓瑟希，铿尔，舍瑟而“作”，对曰：异乎三子者之撰', '作：立起来，站起身')",1
"('鼓瑟希，铿尔，舍瑟而作，对曰：异乎三子者之“撰”', '撰：才具，才能')",1
"('子曰：何“伤”乎', '伤：妨害')",1
"('子曰：何伤“乎”', '乎：语气词，呢')",1
"('曰：“莫”春者，春服既成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '莫：通暮')",1
"('曰：莫春者，春服“既”成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '既：副词，已经')",1
"('曰：莫春者，春服既成，“冠”者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '冠：古时男子二十岁为成年，束发加冠')",1
"('曰：莫春者，春服既成，冠者“五六”人，童子六七人，浴乎沂，风乎舞雩咏而归', '五六：都是虚数')",1
"('夫子喟然叹曰：吾“与”点也', '与：赞成')",1
"('三子者出，曾皙“后”', '后：动词，后出夫子何哂由也：何，为什么')",1
"('曰：为国“以”礼，其言不让，是故哂之', '以：介词')",1
"('曰：为国以礼，其言不“让”，是故哂之', '让：礼让，谦逊')",1
"('唯求则非“邦”也与', '邦：国家，这是指国家大事')",1
"('唯求则非邦也“与”', '与：同欤，疑问语气词')",1
"('子路、曾皙，冉有、公西华“侍”坐', '侍：侍奉，本指侍立于尊者之旁')",1
"('子路、曾皙，冉有、公西华“侍坐”', '侍坐：此处指执弟子之礼，侍奉老师而坐')",1
"('子曰：以吾一日“长”乎尔，毋吾以也', '长：年长')",1
"('子曰：“以”吾一日长乎尔，毋吾以也', '以：动词，用')",1
"('居“则”曰：‘不吾知也', '则：就')",1
"('’“如或”知尔，则何以哉', '如或：如果有人')",1
"('’“如”或知尔，则何以哉', '如：假如')",1
"('’如“或”知尔，则何以哉', '或：无定代词，有人')",1
"('’如或知尔，“则”何以哉', '则：连词，那么，就')",1
"('’如或知尔，则“何以”哉', '何以：用什么')",1
"('’如或知尔，则何“以”哉', '以：动词，用')",1
"('子路“率尔”而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以饥馑', '率尔：不假思索的样子')",1
"('子路率尔而对曰：千“乘”之国，摄乎大国之间，加之以师旅，因之以饥馑', '乘：兵车')",1
"('子路率尔而对曰：千乘之国，摄“乎”大国之间，加之以师旅，因之以饥馑', '乎：于，在')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，“加”之以师旅，因之以饥馑', '加：加在上面')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以“师旅”，因之以饥馑', '师旅：军队，此特指侵略的军队')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，“因”之以饥馑', '因：动词，接着')",1
"('子路率尔而对曰：千乘之国，摄乎大国之间，加之以师旅，因之以“饥馑”', '饥馑：饥荒')",1
"('由也为之，比及三年，可使有勇，“且”知方也', '且：连词，并且')",1
"('由也为之，比及三年，可使有勇，且知“方”也', '方：道，义方指是非准则')",1
"('夫子“哂”之', '哂：微笑，这里略带讥讽')",1
"('对曰：“方”六七十，如五六十，求也为之，比及三年，可使足民', '方：见方，纵横')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表选择，或者')",1
"('对曰：方六七十，如五六十，求也为之，比及三年，可使“足”民', '足：使……富足')",1
"('对曰：方六七十，“如”五六十，求也为之，比及三年，可使足民', '如：连词，表提起另一话题，作至于讲')",1
"('如“其”礼乐，以俟君子', '其：那')",1
"('如其礼乐，“以”俟君子', '以：把')",1
"('如其礼乐，以“俟”君子', '俟：等待')",1
"('对曰：非曰“能”之，愿学焉', '能：动词，能做到')",1
"('对曰：非曰能之，愿学“焉”', '焉：这里作指示代词兼语气词，指代下文小相这种工作')",1
"('宗庙之事，“如”会同，端章甫，愿为小相焉', '如：连词，或者')",1
"('宗庙之事，如“会”同，端章甫，愿为小相焉', '会：诸侯之间的盟会')",1
"('宗庙之事，如会“同”，端章甫，愿为小相焉', '同：诸侯共同朝见天子')",1
"('宗庙之事，如会同，“端”章甫，愿为小相焉', '端：古代的一种礼服')",1
"('宗庙之事，如会同，端“章甫”，愿为小相焉', '章甫：古代的一种礼帽')",1
"('宗庙之事，如会同，端章甫，“愿”为小相焉', '愿：愿意')",1
"('宗庙之事，如会同，端章甫，愿为小“相”焉', '相：在祭祀会盟或朝见天子时主持赞礼和司仪的人')",1
"('宗庙之事，如会同，端章甫，愿为小相“焉”', '焉：兼词，于是，在这些场合里')",1
"('“鼓”瑟希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '鼓：弹')",1
"('鼓“瑟”希，铿尔，舍瑟而作，对曰：异乎三子者之撰', '瑟：古乐器')",1
"('鼓瑟“希”，铿尔，舍瑟而作，对曰：异乎三子者之撰', '希：同稀，稀疏，这里指鼓瑟的声音已接近尾声')",1
"('鼓瑟希，铿尔，“舍”瑟而作，对曰：异乎三子者之撰', '舍：放下')",1
"('鼓瑟希，铿尔，舍瑟而“作”，对曰：异乎三子者之撰', '作：立起来，站起身')",1
"('鼓瑟希，铿尔，舍瑟而作，对曰：异乎三子者之“撰”', '撰：才具，才能')",1
"('子曰：何“伤”乎', '伤：妨害')",1
"('子曰：何伤“乎”', '乎：语气词，呢')",1
"('曰：“莫”春者，春服既成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '莫：通暮')",1
"('曰：莫春者，春服“既”成，冠者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '既：副词，已经')",1
"('曰：莫春者，春服既成，“冠”者五六人，童子六七人，浴乎沂，风乎舞雩咏而归', '冠：古时男子二十岁为成年，束发加冠')",1
"('曰：莫春者，春服既成，冠者“五六”人，童子六七人，浴乎沂，风乎舞雩咏而归', '五六：六七，都是虚数')",1
"('夫子喟然叹曰：吾“与”点也', '与：赞成')",1
"('三子者出，曾皙“后”', '后：动词，后出夫子何哂由也：何，为什么')",1
"('曰：为国“以”礼，其言不让，是故哂之', '以：介词')",1
"('曰：为国以礼，其言不“让”，是故哂之', '让：礼让，谦逊')",1
"('唯求则非“邦”也与', '邦：国家，这是指国家大事')",1
"('唯求则非邦也“与”', '与：同欤，疑问语气词')",1
"('初，西夏遣使致祭，延州“指”使高宜押伴，傲其使者，侮其国主，使者诉于朝', '指：同旨，主要意思')",1
"('仁宗遗赐直百余万，光率“同列”三上章，谓：国有大忧，中外窘乏，不可专用乾兴故事', '同列：这里指同年考中进士的人')",1
"('安石以韩琦上疏，卧家求“退”', '退：回来')",1
"('元丰五年，忽得“语”涩疾，疑且死，豫作遗表置卧内，即有缓急，当以畀所善者上之', '语：对说')",1
"('苏轼自登州召还，缘道人相聚号呼曰：寄谢司马相公，毋“去”朝廷，厚自爱以活我', '去：离开')",1
"('苏轼自登州召还，缘道人相聚号呼曰：寄谢司马相公，毋去朝廷，厚自“爱”以活我', '爱：喜欢')",1
"('于是天下“释”然，曰：此先帝本意也', '释：放')",1
"('古人谈读书一“敏”而好学，不耻下问', '敏：聪明')",1
"('古人谈读书一敏而“好”学，不耻下问', '好：喜好')",1
"('古人谈读书一敏而好学，不“耻”下问', '耻：以……为耻')",1
"('“知”之为知之，不知为不知，是知也', '知：通智，聪明，智慧')",1
"('默而识之，学而不“厌”，诲人不倦', '厌：满足')",1
"('默而识之，学而不厌，“诲”人不倦', '诲：教导')",1
"('—《论语》二余尝“谓”读书有三到，谓心到、眼到、口到', '谓：说')",1
"('心眼既不专一，却只“漫浪”诵读，决不能记，记亦不能久也', '漫浪：随随便便')",1
"('三到之中，心到最“急”', '急：要紧')",1
"('—宋朱熹三“盖”士人读书，第一要有志，第二要有识，第三要有恒', '盖：在句首，发语词')",1
"('有志则“断”不甘为下流', '断：副词，表示绝对一定')",1
"('“王戎”不取道旁李王戎七岁，尝与诸小儿游，看道边李树多子折枝', '王戎：西晋琅琊人，自幼聪明过人，为竹林七贤之一，官至尚书令，司徒')",1
"('王戎不取道旁李王戎七岁，“尝”与诸小儿游，看道边李树多子折枝', '尝：曾经')",1
"('“诸”儿竞走取之，唯戎不动', '诸：众多')",1
"('王戎不取道旁李王戎七岁，尝与诸小儿“游”，看道边李树多子折枝', '游：嬉戏玩耍')",1
"('王戎不取道旁李王戎七岁，尝与诸小儿游，看道边李树多“子”折枝', '子：李子')",1
"('王戎不取道旁李王戎七岁，尝与诸小儿游，看道边李树多子“折枝”', '折枝：压弯树枝')",1
