,words,words_meaning,sentences
21,坐,坐（在座位上）,"['口技人坐屏障，一桌一椅一扇一抚尺而已。', '峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。', '，皇上人坐屏障，一桌一椅一扇一抚尺而已。，', '，口技品坐屏障，一桌一椅一扇一抚尺而已。，', '，口技人坐珠帘，一桌一椅一扇一抚尺而已。，', '峨大冠、拖长绅者,昂昂乎庙堂之器也,果能建伊、皋之业耶。盗起而不知御,民困而不知救,吏奸而不知禁，法斁而不知味，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者,孰不巍巍乎可畏,赫赫乎可象也。', '峨大冠、拖长绅者,昂昂乎庙堂之器也,果能建伊、皋之业耶。盗起而不知御,民困而不知救,吏奸而不知禁，法斁而不知理，坐隐而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者,孰不巍巍乎可畏,赫赫乎可象也。', '峨大冠、拖长绅者,昂昂乎庙堂之器也,果能建伊、皋之业耶。盗起而不知御,民困而不知救,吏奸而不知禁，法斁而不知理，坐糜廪粟而不知世。观其坐高堂，骑大马，醉醇醴而饫肥鲜者,孰不巍巍乎可畏,赫赫乎可象也。', '峨大冠、拖长绅者,昂昂乎庙堂之器也,果能建伊、皋之业耶。盗起而不知御,民困而不知救,吏奸而不知禁，法斁而不知理，坐仅糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者,孰不巍巍乎可畏,赫赫乎可象也。', '峨大冠、拖长绅者,昂昂乎庙堂之器也,果能建伊、皋之业耶。盗起而不知御,民困而不知救,吏奸而不知禁，法斁而不知理，坐糜廪粟而不知不虞耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者,孰不巍巍乎可畏,赫赫乎可象也。']"
22,坐,诉讼时在法官面前对质,"['晋人使邾大夫坐。', '，翠羽人使邾大夫坐。，', '，晋士使邾大夫坐。，', '，晋人使邾东道主坐。，', '，莫晋人使邾大夫坐。，', '，晋之所以人使邾大夫坐。，', '，晋人使邾何由大夫坐。，']"
23,坐,即将,"['寒英坐销落，何用慰远客。', '杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，堂上北面坐饮之。降，趋而出。', '，平生坐销落，何用慰远客。，', '，寒英坐聪敏落，何用慰远客。，', '，焉得寒英坐销落，何用慰远客。，', '，寒英坐咸销落，何用慰远客。，', '杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，堂上雾凇坐饮之。降，趋而出。，', '杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，便堂上北面坐饮之。降，趋而出。，', '杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，堂上晚北面坐饮之。降，趋而出。，']"
24,坐,牵连治罪,"['副罪，当相坐。', '，副秋冬，当相坐。，', '，副讹罪，当相坐。，']"
25,坐,驻守,"['楚人坐其北门。', '，孝坐其北门。，', '，楚人坐其谩。，', '，更深楚人坐其北门。，']"
26,作,作品,"['中国画家自临摹旧作入手。', '昂首观之，项为之强。又留蚊于素帐中，徐喷以烟，使之冲烟而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处，花台小草丛杂处，蹲其身，使与台齐。', '，绵画家自临摹旧作入手。，', '，中国廓自临摹旧作入手。，', '，而今中国画家自临摹旧作入手。，', '，中国楚画家自临摹旧作入手。，', '昂首观之,项为之强。又留蚊于素帐中,徐喷以烟，使之冲父而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处,花台小草丛杂处,蹲其身,使与台齐。', '昂首观之,项为之强。又留蚊于素帐中,徐喷以烟，使之冲烟而飞鸣，作师友观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处,花台小草丛杂处,蹲其身,使与台齐。', '昂首观之,项为之强。又留蚊于素帐中,徐喷以烟，使之冲烟而飞鸣，作青云白鹤观，偶如鹤唳云端，为之怡然称快。余常于土墙凹凸处,花台小草丛杂处,蹲其身,使与台齐。', '昂首观之,项为之强。又留蚊于素帐中,徐喷以烟，使之冲一面烟而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处,花台小草丛杂处,蹲其身,使与台齐。', '昂首观之,项为之强。又留蚊于素帐中,徐喷以烟，使之冲烟而飞鸣，作何意青云白鹤观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处,花台小草丛杂处,蹲其身,使与台齐。']"
27,作,兴起；出现,"['有圣人作，构木为巢以避群害。', '力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。。', '呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。', '奔车朽索，其可忽乎。君人者，诚能见可欲则思知足以自戒，将有所作则思知止以安人，念高危则思谦冲而自牧，惧满溢则思江海下而百川，乐盘游则思三驱以为度，忧懈怠则思慎始而敬终，虑壅蔽则思虚心以纳下，想谗邪则思正身以黜恶，恩所加则思无因喜以谬赏，罚所及则思无以怒而滥刑。总此十思，宏兹九德，简能而任之，择善而从之。', '满井游记燕地寒，花朝节后，余寒犹厉。冻风时作，作则飞沙走砾。局促一室之内，欲出不得。', '，有圣人作，构俸为巢以避群害。，', '，有圣人作，构木为将校以避群害。，', '，有圣人作，构实木为巢以避群害。，', '，有圣人作，构木为马上巢以避群害。，', '力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃产贼而不作，故外户而不闭，是谓大同。。', '力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱林而不作，故外户而不闭，是谓大同。。', '力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃楚乱贼而不作，故外户而不闭，是谓大同。。', '，呜呼。秦王之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。', '，呜呼。次霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。', '，呜呼。霍子孟之不作，疏朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。', '奔车朽索,其可忽乎。君人者，诚能见可欲则思知足以自戒，将有所作则思较知止以安人，念高危则思谦冲而自牧，惧满溢则思江海下而百川,乐盘游则思三驱以为度,忧懈怠则思慎始而敬终,虑壅蔽则思虚心以纳下,想谗邪则思正身以黜恶,恩所加则思无因喜以谬赏,罚所及则思无以怒而滥刑。总此十思,宏兹九德,简能而任之,择善而从之。', '满井游记燕地寒，花朝节后，余寒犹厉。冻教督时作，作则飞沙走砾。局促一室之内，欲出不得。']"
28,作,振作；振奋,"['一鼓作气，再鼓而衰。', '故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。', '狱中杂记康熙五十一年三月，余在刑部狱，见死而由窦出者，日四三人。有洪洞令杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '人恒过，然后能改。困于心，衡于虑，而后作。征于色，发于声，而后喻。', '，一鼓作气，不巧鼓而衰。，', '故天将降大任于是人也,必先苦其心志,劳其筋骨,饿其体肤,空乏其身,行拂乱其所为,所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于事而后作。征于色发于声而后喻。，', '故天将降大任于是人也,必先苦其心志,劳其筋骨,饿其体肤,空乏其身,行拂乱其所为,所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于不公发于声而后喻。，', '故天将降大任于是人也,必先苦其心志,劳其筋骨,饿其体肤,空乏其身,行拂乱其所为,所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于苦虑而后作。征于色发于声而后喻。，', '故天将降大任于是人也,必先苦其心志,劳其筋骨,饿其体肤,空乏其身,行拂乱其所为,所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于不意色发于声而后喻。，', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有南顿杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有洪洞令诞君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有洪洞令杜魂魄者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有如洪洞令杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有洪洞令次杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '狱中杂记康熙五十一年三月,余在刑部狱,见死而由窦出者，日四三人。有洪洞令杜然后君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。', '人恒过,然后能改。困于心，衡于虑，而后作。征于控，发于声，而后喻。', '人恒过,然后能改。困于心，衡于决然虑，而后作。征于色，发于声，而后喻。', '人恒过,然后能改。困于心，衡于虑，而后作。征于细色，发于声，而后喻。']"
29,作,发动；发出；发生,"['一夫作难而七庙隳。', '泉水激石，泠泠作响。', '此疫作也。', '，一衣冠作难而七庙隳。，', '，一夫作难而七真朋隳。，', '，一势夫作难而七庙隳。，', '，一夫作难而七恍然庙隳。，', '，甸激石，泠泠作响。，', '，泉水激庄，泠泠作响。，', '，泉水激石，灰作响。，', '，分别泉水激石，泠泠作响。，', '，泉水激再石，泠泠作响。，', '，泉水激石，最多泠泠作响。，', '，此菁华作也。，']"
30,作,摹写老鼠活动的声音,"['微闻有鼠作作索索。', '，微苓有鼠作作索索。，', '，微闻有鱼腹作作索索。，', '，微闻有鼠作作壁索。，', '，微闻有鼠作作索讥。，', '，微闻有居然鼠作作索索。，', '，微闻有鼠作作尝索索。，', '，微闻有鼠作作索一瞬索。，']"
31,作,制作；建造,"['遂乃研核阴阳，妙尽璇机之正，作浑天仪。', '明年春，水落，迁于故居之东，东山之麓。升高而望，得异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环，独缺其西一面，而山人之亭，适当其缺。', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。', '遂乃研核阴阳，妙尽世族之正，作浑天仪。，', '遂乃研核阴阳，妙尽璇机之儒，作浑天仪。，', '遂乃研核阴阳，妙尽璇机之正，作浑人。，', '遂乃研核阴阳，妙尽便如璇机之正，作浑天仪。，', '遂乃研核阴阳，妙尽璇机之正，作浑疏天仪。，', '明年春,水落,迁于故居之东,东山之麓。升高而望，得卫焉，作亭于其上。彭城之山，冈岭四合，隐然如大环,独缺其西一面,而山人之亭,适当其缺。', '明年春,水落,迁于故居之东,东山之麓。升高而望，得异境焉，作鲁人于其上。彭城之山，冈岭四合，隐然如大环,独缺其西一面,而山人之亭,适当其缺。', '明年春,水落,迁于故居之东,东山之麓。升高而望，得异境焉，作亭于其良久。彭城之山，冈岭四合，隐然如大环,独缺其西一面,而山人之亭,适当其缺。', '明年春,水落,迁于故居之东,东山之麓。升高而望，得见方异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环,独缺其西一面,而山人之亭,适当其缺。', '明年春,水落,迁于故居之东,东山之麓。升高而望，得异境焉，作慷慨亭于其上。彭城之山，冈岭四合，隐然如大环,独缺其西一面,而山人之亭,适当其缺。', '峰回路转，有亭翼然、临于泉上朝廷，醉翁亭也。作亭者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作行朝者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。金陵人之僧智仙也。，', '峰回路转，有亭翼然、临于泉上实实者，醉翁亭也。作亭者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，晏醉翁亭也。作亭者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作侧亭者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭仅者谁。山之僧智仙也。，', '峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。愈山之僧智仙也。，']"
32,作,起来；起身,"['舍瑟而作。', '点，尔何如。鼓瑟希，铿尔，舍瑟而作，对曰：异乎三子者之撰。子曰：何伤乎。', '点,尔何如。鼓瑟希，铿尔，揆瑟而作，对曰：异乎三子者之撰。子曰：何伤乎。，', '点,尔何如。鼓瑟希，铿尔，舍瑟而作，亲友曰：异乎三子者之撰。子曰：何伤乎。，', '点,尔何如。鼓瑟希，铿尔，舍瑟而作，竞对曰：异乎三子者之撰。子曰：何伤乎。，']"
33,作,干；做,"['若有作奸犯科及为忠善者，宜付有司论其刑赏。', '，若有作奸犯科及为斗者，宜付有司论其刑赏。，', '，若有作奸犯科及为忠善仇，宜付有司论其刑赏。，']"
34,作,演奏,"['如乐作焉。', '，如学生作焉。，']"
35,作,劳作；劳动,"['其中往来种作，男女衣着，悉如外人。', '，位往来种作，男女衣着，悉如外人。', '，其中费种作，男女衣着，悉如外人。', '，其中往来种作，男女西夏，悉如外人。', '，乃至其中往来种作，男女衣着，悉如外人。', '，其中环往来种作，男女衣着，悉如外人。', '，其中往来譬如种作，男女衣着，悉如外人。', '，其中往来种作，连年男女衣着，悉如外人。', '，其中往来种作，男女先衣着，悉如外人。']"
36,作,充任,"['家君作宰，路出名区。', '，脑君作宰，路出名区。，', '，家视觉作宰，路出名区。，', '，家君作宰，路出贪区。，', '，终岁家君作宰，路出名区。，', '，家不惟君作宰，路出名区。，', '，家君作宰，从此路出名区。，', '，家君作宰，路出晶晶然名区。，']"
37,作,创作；写作,"['登高作赋，是所望于群公。', '，登高作人烟，是所望于群公。，', '，登高作便赋，是所望于群公。，']"
38,佐,辅助的官员；助手,"['有赵孟以为大夫，有伯瑕以为佐。', '予友梅圣俞，少以荫补为吏，累举进士，辄抑于有司，困于州县，凡十余年。年今五十，犹从辟书，为人之佐。郁其所蓄，不得奋见于事业。', '予友梅圣俞,少以荫补为吏,累举进士,辄抑于有司,困于州县,凡十余年。年今五十，犹从辟书，为盟之佐。郁其所蓄，不得奋见于事业。，', '，有赵孟以为大夫，有漓以为佐。，']"
39,佐,辅助；帮助,"['陈胜佐之，并杀两尉。', '，俄佐之，并杀两尉。，', '，陈胜佐之，并杀两尉。，']"
40,左,战车左边的卫士,"['左右免胄而下，超乘者三百乘。', '，左右免文辞而下，超乘者三百乘。，']"
41,左,左边，与“右”相对,"['左，乃陷大泽中。', '鲁直左手执卷末，右手指卷，如有所语。', '，左，乃陷大功业中。，', '，朔左手执卷末，右手指卷，如有所语。', '，鲁直左手执卷末，右手指卷，如有所语。']"
42,左,不正；邪僻,"['执左道以乱政。', '，执左夷以乱政。，', '，执左道以故址。，', '，执左齐道以乱政。，', '，执左道以偏乱政。，']"
43,左,较低的地位,"['予左迁九江郡司马。', '，予左迁忠良郡司马。，', '，予左迁九江平生司马。，', '，予左迁九江郡津。，', '，予左迁不时九江郡司马。，', '，予左迁九江郡皆司马。，']"
44,左,不赞助,"['右韩而左魏。', '，右应门而左魏。，', '，右韩而左杞。，', '，萧萧右韩而左魏。，', '，右韩而左勿魏。，']"
45,左,不合,"['身动而事左。', '，女子动而事左。，', '，身动而营左。，', '，不宜身动而事左。，', '，身动而肃然事左。，']"
46,左,旁边,"['鸟起马惊，疾逸道左。', '心术为将之道，当先治心。泰山崩于前而色不变，麋鹿兴于左而目不瞬，然后可以制利害，可以待敌。凡兵上义。', '，鸟起马惊，疾何时逸道左。，', '心术为将之道，当先治心。泰山崩于前而色不变，象兴于左而目不瞬，然后可以制利害，可以待敌。凡兵上义。', '心术为将之道，当先治心。泰山崩于前而色不变，麋鹿兴于左而辐目不瞬，然后可以制利害，可以待敌。凡兵上义。']"
47,左,证据；证人,"['举十二条左证其谬。', '，举十二条左证其栗。，', '，举十二条左证其一瞬谬。，']"
48,左,东面,"['淮左名都，竹西佳处。', '，淮左名都，班竹西佳处。，', '，淮左名都，竹蚤西佳处。，']"
49,左,（车骑的）尊位,"['公子从车骑，虚左，自迎夷门侯生。', '，公子从车骑，虚左，自迎骨侯生。，', '，公子从易车骑，虚左，自迎夷门侯生。，']"
50,昨,昨天,"['昨夜见军贴，可汗大点兵。', '，昨夜见漫朗军贴，可汗大点兵。，']"
51,遵,循；沿着,"['遵江夏以流亡。', '，遵仅江夏以流亡。，']"
52,尊,尊贵；高贵,"['岂先贱而后尊贵者乎？', '位尊而无功，奉厚而无劳。', '履至尊而制六合。', '曰：此其近者祸及身，岂人主之子孙则必不善哉。位尊而无功，奉厚而无劳，而挟重器多也。今媪尊长安君之位，而封之以膏腴之地，而不及今令有功于国，一旦山陵崩，长安君何以自托于赵。', '，履至尊而别制六合。，', '，曰：此其近者祸及身，岂人主之子孙则必不善哉。勿位尊而无功，奉厚而无劳，而挟重器多也。今媪尊长安君之位,而封之以膏腴之地,而不及今令有功于国,一旦山陵崩,长安君何以自托于赵。', '，履至尊而制平六合。，', '，曰：此其近者祸及身，岂人主之子孙则必不善哉。位尊而无猗，奉厚而无劳，而挟重器多也。今媪尊长安君之位,而封之以膏腴之地,而不及今令有功于国,一旦山陵崩,长安君何以自托于赵。']"
53,尊,酒器,"['合盖隆起，形似酒尊。', '人生如梦，一尊还酹江月。', '’楚王登强台而望崩山，左江而右湖，以临彷徨，其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今主君之尊，仪狄之酒以。主君之味，易牙之调也。', '方其破荆州，下江陵，顺流而东也，舳舻千里，旌旗蔽空，酾酒临江，横槊赋诗，固一世之雄也，而今安在哉。况吾与子渔樵于江渚之上，侣鱼虾而友麋鹿，驾一叶之扁舟，举匏尊以相属。寄蜉蝣于天地，渺沧海之一粟。', '，人生如梦，一尊还酹木兰月。，', '，会州如梦，一尊还酹江月。，', '’楚王登强台而望崩山,左江而右湖,以临彷徨,其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今女婴之尊，仪狄之酒以。主君之味，易牙之调也。', '’楚王登强台而望崩山,左江而右湖,以临彷徨,其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今主君之尊，惟仪狄之酒以。主君之味，易牙之调也。']"
