,word,w_meaning_index,a,b
12,坐,18,王曰：‘何坐？’曰：‘坐盗。’,帝乃除超为兰台令史。后坐事免官。十六年，遣与从事郭恂俱使西域。
13,坐,19,停车坐爱枫林晚。,答曰：前山后山，何地不有。夫菱生于水，而曰土产，此坐强不知以为知也。。
14,坐,19,停车坐爱枫林晚。,始出死力相煽构，而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与谗君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。
15,坐,19,始出死力相煽构，而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与谗君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。,停车坐爱枫林晚。
16,坐,19,答曰：前山后山，何地不有。夫菱生于水，而曰土产，此坐强不知以为知也。。,停车坐爱枫林晚。
17,坐,21,口技人坐屏障，一桌一椅一扇一抚尺而已。,峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。
18,坐,21,峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。,口技人坐屏障，一桌一椅一扇一抚尺而已。
19,坐,23,寒英坐销落，何用慰远客。,杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，堂上北面坐饮之。降，趋而出。
20,坐,23,杜篑入寝，历阶而升酌曰：旷饮斯。又酌曰：调饮斯又酌，堂上北面坐饮之。降，趋而出。,寒英坐销落，何用慰远客。
21,作,26,中国画家自临摹旧作入手。,昂首观之，项为之强。又留蚊于素帐中，徐喷以烟，使之冲烟而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。余常于土墙凹凸处，花台小草丛杂处，蹲其身，使与台齐。
22,作,27,有圣人作，构木为巢以避群害。,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。
23,作,27,有圣人作，构木为巢以避群害。,奔车朽索，其可忽乎。君人者，诚能见可欲则思知足以自戒，将有所作则思知止以安人，念高危则思谦冲而自牧，惧满溢则思江海下而百川，乐盘游则思三驱以为度，忧懈怠则思慎始而敬终，虑壅蔽则思虚心以纳下，想谗邪则思正身以黜恶，恩所加则思无因喜以谬赏，罚所及则思无以怒而滥刑。总此十思，宏兹九德，简能而任之，择善而从之。
24,作,27,力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。。,满井游记燕地寒，花朝节后，余寒犹厉。冻风时作，作则飞沙走砾。局促一室之内，欲出不得。
25,作,27,力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。。,有圣人作，构木为巢以避群害。
26,作,27,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。,奔车朽索，其可忽乎。君人者，诚能见可欲则思知足以自戒，将有所作则思知止以安人，念高危则思谦冲而自牧，惧满溢则思江海下而百川，乐盘游则思三驱以为度，忧懈怠则思慎始而敬终，虑壅蔽则思虚心以纳下，想谗邪则思正身以黜恶，恩所加则思无因喜以谬赏，罚所及则思无以怒而滥刑。总此十思，宏兹九德，简能而任之，择善而从之。
27,作,27,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。,力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。。
28,作,27,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。,有圣人作，构木为巢以避群害。
29,作,27,奔车朽索，其可忽乎。君人者，诚能见可欲则思知足以自戒，将有所作则思知止以安人，念高危则思谦冲而自牧，惧满溢则思江海下而百川，乐盘游则思三驱以为度，忧懈怠则思慎始而敬终，虑壅蔽则思虚心以纳下，想谗邪则思正身以黜恶，恩所加则思无因喜以谬赏，罚所及则思无以怒而滥刑。总此十思，宏兹九德，简能而任之，择善而从之。,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。
30,作,27,满井游记燕地寒，花朝节后，余寒犹厉。冻风时作，作则飞沙走砾。局促一室之内，欲出不得。,力恶其不出于身也，不必为己。是故谋闭而不兴，盗窃乱贼而不作，故外户而不闭，是谓大同。。
31,作,27,满井游记燕地寒，花朝节后，余寒犹厉。冻风时作，作则飞沙走砾。局促一室之内，欲出不得。,呜呼。霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。
32,作,27,满井游记燕地寒，花朝节后，余寒犹厉。冻风时作，作则飞沙走砾。局促一室之内，欲出不得。,有圣人作，构木为巢以避群害。
33,作,28,一鼓作气，再鼓而衰。,故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。
34,作,28,故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。,人恒过，然后能改。困于心，衡于虑，而后作。征于色，发于声，而后喻。
35,作,28,故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。,狱中杂记康熙五十一年三月，余在刑部狱，见死而由窦出者，日四三人。有洪洞令杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。
36,作,28,狱中杂记康熙五十一年三月，余在刑部狱，见死而由窦出者，日四三人。有洪洞令杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。,一鼓作气，再鼓而衰。
37,作,28,狱中杂记康熙五十一年三月，余在刑部狱，见死而由窦出者，日四三人。有洪洞令杜君者，作而言曰：此疫作也。今天时顺正，死者尚稀，往岁多至日数十人。,故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。
38,作,28,人恒过，然后能改。困于心，衡于虑，而后作。征于色，发于声，而后喻。,一鼓作气，再鼓而衰。
39,作,28,人恒过，然后能改。困于心，衡于虑，而后作。征于色，发于声，而后喻。,故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过然后能改，困于心衡于虑而后作。征于色发于声而后喻。
40,作,29,一夫作难而七庙隳。,泉水激石，泠泠作响。
41,作,29,泉水激石，泠泠作响。,一夫作难而七庙隳。
42,作,29,泉水激石，泠泠作响。,此疫作也。
43,作,29,此疫作也。,泉水激石，泠泠作响。
44,作,31,遂乃研核阴阳，妙尽璇机之正，作浑天仪。,明年春，水落，迁于故居之东，东山之麓。升高而望，得异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环，独缺其西一面，而山人之亭，适当其缺。
45,作,31,遂乃研核阴阳，妙尽璇机之正，作浑天仪。,峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。
46,作,31,明年春，水落，迁于故居之东，东山之麓。升高而望，得异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环，独缺其西一面，而山人之亭，适当其缺。,峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。
47,作,31,明年春，水落，迁于故居之东，东山之麓。升高而望，得异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环，独缺其西一面，而山人之亭，适当其缺。,遂乃研核阴阳，妙尽璇机之正，作浑天仪。
48,作,31,峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。,遂乃研核阴阳，妙尽璇机之正，作浑天仪。
49,作,31,峰回路转，有亭翼然、临于泉上者，醉翁亭也。作亭者谁。山之僧智仙也。,明年春，水落，迁于故居之东，东山之麓。升高而望，得异境焉，作亭于其上。彭城之山，冈岭四合，隐然如大环，独缺其西一面，而山人之亭，适当其缺。
50,作,32,点，尔何如。鼓瑟希，铿尔，舍瑟而作，对曰：异乎三子者之撰。子曰：何伤乎。,舍瑟而作。
51,佐,38,有赵孟以为大夫，有伯瑕以为佐。,予友梅圣俞，少以荫补为吏，累举进士，辄抑于有司，困于州县，凡十余年。年今五十，犹从辟书，为人之佐。郁其所蓄，不得奋见于事业。
52,佐,38,予友梅圣俞，少以荫补为吏，累举进士，辄抑于有司，困于州县，凡十余年。年今五十，犹从辟书，为人之佐。郁其所蓄，不得奋见于事业。,有赵孟以为大夫，有伯瑕以为佐。
53,左,41,左，乃陷大泽中。,鲁直左手执卷末，右手指卷，如有所语。
54,左,41,鲁直左手执卷末，右手指卷，如有所语。,左，乃陷大泽中。
55,左,46,鸟起马惊，疾逸道左。,心术为将之道，当先治心。泰山崩于前而色不变，麋鹿兴于左而目不瞬，然后可以制利害，可以待敌。凡兵上义。
56,左,46,心术为将之道，当先治心。泰山崩于前而色不变，麋鹿兴于左而目不瞬，然后可以制利害，可以待敌。凡兵上义。,鸟起马惊，疾逸道左。
57,尊,52,岂先贱而后尊贵者乎？,履至尊而制六合。
58,尊,52,岂先贱而后尊贵者乎？,位尊而无功，奉厚而无劳。
59,尊,52,位尊而无功，奉厚而无劳。,履至尊而制六合。
60,尊,52,履至尊而制六合。,位尊而无功，奉厚而无劳。
61,尊,52,曰：此其近者祸及身，岂人主之子孙则必不善哉。位尊而无功，奉厚而无劳，而挟重器多也。今媪尊长安君之位，而封之以膏腴之地，而不及今令有功于国，一旦山陵崩，长安君何以自托于赵。,履至尊而制六合。
62,尊,52,曰：此其近者祸及身，岂人主之子孙则必不善哉。位尊而无功，奉厚而无劳，而挟重器多也。今媪尊长安君之位，而封之以膏腴之地，而不及今令有功于国，一旦山陵崩，长安君何以自托于赵。,位尊而无功，奉厚而无劳。
63,尊,53,合盖隆起，形似酒尊。,人生如梦，一尊还酹江月。
64,尊,53,人生如梦，一尊还酹江月。,’楚王登强台而望崩山，左江而右湖，以临彷徨，其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今主君之尊，仪狄之酒以。主君之味，易牙之调也。
65,尊,53,人生如梦，一尊还酹江月。,合盖隆起，形似酒尊。
66,尊,53,’楚王登强台而望崩山，左江而右湖，以临彷徨，其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今主君之尊，仪狄之酒以。主君之味，易牙之调也。,方其破荆州，下江陵，顺流而东也，舳舻千里，旌旗蔽空，酾酒临江，横槊赋诗，固一世之雄也，而今安在哉。况吾与子渔樵于江渚之上，侣鱼虾而友麋鹿，驾一叶之扁舟，举匏尊以相属。寄蜉蝣于天地，渺沧海之一粟。
67,尊,53,’楚王登强台而望崩山，左江而右湖，以临彷徨，其乐忘死，遂盟强台而弗登，曰：‘后世必有以高台陂池亡其国者。’今主君之尊，仪狄之酒以。主君之味，易牙之调也。,合盖隆起，形似酒尊。
68,尊,53,方其破荆州，下江陵，顺流而东也，舳舻千里，旌旗蔽空，酾酒临江，横槊赋诗，固一世之雄也，而今安在哉。况吾与子渔樵于江渚之上，侣鱼虾而友麋鹿，驾一叶之扁舟，举匏尊以相属。寄蜉蝣于天地，渺沧海之一粟。,人生如梦，一尊还酹江月。
69,尊,54,于是为长安君约车百乘，质与齐，齐兵乃出。子义闻之曰：人主之子也、骨肉之亲也，犹不能恃无功之尊，无劳之奉，已守金玉之重也，而况人臣乎。词语注释。,此四君者，皆明智而忠信，宽厚而爱人，尊贤而爱士。
70,尊,55,臣欲使士大夫尊尚武勇。,尊五美，屏四恶，斯可以从政矣。
71,尊,55,尊五美，屏四恶，斯可以从政矣。,臣欲使士大夫尊尚武勇。
72,醉,56,醉能同其乐，醒能述以文者，太守也。,岂可但逸游荒醉？
73,醉,56,岂可但逸游荒醉？,醉能同其乐，醒能述以文者，太守也。
74,醉,59,既醉而退，曾不吝情去留。,到则披草而坐，倾壶而醉。
75,醉,59,既醉而退，曾不吝情去留。,苟有可观，皆有可乐，非必怪奇伟丽者也。哺糟啜醨，皆可以醉。果蔬草木，皆可以饱。
76,醉,59,既醉而退，曾不吝情去留。,晓来谁染霜林醉？
77,醉,59,到则披草而坐，倾壶而醉。,苟有可观，皆有可乐，非必怪奇伟丽者也。哺糟啜醨，皆可以醉。果蔬草木，皆可以饱。
78,醉,59,到则披草而坐，倾壶而醉。,既醉而退，曾不吝情去留。
79,醉,59,晓来谁染霜林醉？,盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。又何往而不金玉其外，败絮其中也哉。
80,醉,59,晓来谁染霜林醉？,苟有可观，皆有可乐，非必怪奇伟丽者也。哺糟啜醨，皆可以醉。果蔬草木，皆可以饱。
81,醉,59,苟有可观，皆有可乐，非必怪奇伟丽者也。哺糟啜醨，皆可以醉。果蔬草木，皆可以饱。,到则披草而坐，倾壶而醉。
82,醉,59,盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。又何往而不金玉其外，败絮其中也哉。,苟有可观，皆有可乐，非必怪奇伟丽者也。哺糟啜醨，皆可以醉。果蔬草木，皆可以饱。
83,醉,59,盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。观其坐高堂，骑大马，醉醇醴而饫肥鲜者，孰不巍巍乎可畏，赫赫乎可象也。又何往而不金玉其外，败絮其中也哉。,到则披草而坐，倾壶而醉。
84,罪,60,愿陛下托臣以讨贼兴复之效，不效则治臣之罪。,令惧其逸，不许。唐临曰：明公若有所疑，吾自当其罪。令因告假归乡。
85,罪,60,苟入狱，不问罪之有无，心械手足，置老监，俾困苦不可忍。,令惧其逸，不许。唐临曰：明公若有所疑，吾自当其罪。令因告假归乡。
86,罪,60,令惧其逸，不许。唐临曰：明公若有所疑，吾自当其罪。令因告假归乡。,苟入狱，不问罪之有无，心械手足，置老监，俾困苦不可忍。
87,罪,60,令惧其逸，不许。唐临曰：明公若有所疑，吾自当其罪。令因告假归乡。,愿陛下托臣以讨贼兴复之效，不效则治臣之罪。
88,罪,62,五无罪岁，斯天下之民至焉。,狗彘食人食而不知检，涂有饿莩而不知发，人死，则曰：‘非我也，岁也。’是何异于刺人而杀之，曰‘非我也，兵也’王无罪岁，斯天下之民至焉。字词注释。
89,罪,62,狗彘食人食而不知检，涂有饿莩而不知发，人死，则曰：‘非我也，岁也。’是何异于刺人而杀之，曰‘非我也，兵也’王无罪岁，斯天下之民至焉。字词注释。,五无罪岁，斯天下之民至焉。
90,罪,64,此天之亡我，非战之罪也。,因宾客至蔺相如门谢罪。
91,罪,64,因宾客至蔺相如门谢罪。,此天之亡我，非战之罪也。
92,最,65,死事之惨，以辛亥三月二十九日围攻两广督署之役为最,死事之惨，以辛亥三月二十九日围攻两广督署之役为最。
93,最,65,死事之惨，以辛亥三月二十九日围攻两广督署之役为最。,死事之惨，以辛亥三月二十九日围攻两广督署之役为最
94,最,66,最爱湖东行不足。,看其外貌最是极好，却难知其底细。
95,纂,68,纂论公察则民不疑。,景帝令二千石修职诏雕文刻镂，伤农事者也。锦绣纂组，害女红者也。农事伤，则饥之本也。
96,纂,68,景帝令二千石修职诏雕文刻镂，伤农事者也。锦绣纂组，害女红者也。农事伤，则饥之本也。,纂论公察则民不疑。
97,纂,70,先生口不绝吟于六艺之文，手不停披于百家之编。记事者必提其要，纂言者必钩其玄。贪多务得，细大不捐。,藏书数万卷，尤好纂述。
98,祖,71,至易水上，既祖，取道。,太子及宾客知其事者，皆白衣冠以送之。至易水上，既祖，取道。高渐离击筑，荆轲和而歌，为变徵之声，士皆垂泪涕泣。
99,祖,71,太子及宾客知其事者，皆白衣冠以送之。至易水上，既祖，取道。高渐离击筑，荆轲和而歌，为变徵之声，士皆垂泪涕泣。,至易水上，既祖，取道。
100,祖,72,思厥先祖父，暴霜露，斩荆棘，以有尺寸之地。,吾祖死于是，吾父死于是。
101,祖,76,瘠土之民，莫不向义，劳也。是故天子大采朝日，与三公九卿，祖识地德，日中考政，与百官之政事。师尹惟旅牧相，宣序民事。,此区区一小草耳，若迹其祖始，远及洪荒。
102,俎,77,鸟兽之肉不登于俎则公不射。,归休乎君，予无所用天下为。庖人虽不治庖，尸祝不越樽俎而代之矣。肩吾问于连叔曰：吾闻言于接舆，大而无当，往而不反。
103,俎,77,鸟兽之肉不登于俎则公不射。,昭文章，明贵贱，辨等列，顺少长，习威仪也。鸟兽之肉不登于俎，皮革、齿牙、角骨、毛羽不登于器，则君不射，古之制也。若夫山林川泽之实，器用之资，皂隶之事，官司之守，非君所及也。
104,俎,77,昭文章，明贵贱，辨等列，顺少长，习威仪也。鸟兽之肉不登于俎，皮革、齿牙、角骨、毛羽不登于器，则君不射，古之制也。若夫山林川泽之实，器用之资，皂隶之事，官司之守，非君所及也。,归休乎君，予无所用天下为。庖人虽不治庖，尸祝不越樽俎而代之矣。肩吾问于连叔曰：吾闻言于接舆，大而无当，往而不反。
105,俎,77,归休乎君，予无所用天下为。庖人虽不治庖，尸祝不越樽俎而代之矣。肩吾问于连叔曰：吾闻言于接舆，大而无当，往而不反。,鸟兽之肉不登于俎则公不射。
106,俎,77,归休乎君，予无所用天下为。庖人虽不治庖，尸祝不越樽俎而代之矣。肩吾问于连叔曰：吾闻言于接舆，大而无当，往而不反。,昭文章，明贵贱，辨等列，顺少长，习威仪也。鸟兽之肉不登于俎，皮革、齿牙、角骨、毛羽不登于器，则君不射，古之制也。若夫山林川泽之实，器用之资，皂隶之事，官司之守，非君所及也。
107,组,78,使其妻织组。,其后用兵，则遣从事以一少牢告庙，请其矢，盛以锦囊，负而前驱，及凯旋而纳之。方其系燕父子以组，函梁君臣之首，入于太庙，还矢先王，而告以成功，其意气之盛，可谓壮哉。及仇雠已灭，天下已定，一夫夜呼，乱者四应，仑皇东出，未见贼而士卒离散，君臣相顾，不知所归。
108,组,78,其后用兵，则遣从事以一少牢告庙，请其矢，盛以锦囊，负而前驱，及凯旋而纳之。方其系燕父子以组，函梁君臣之首，入于太庙，还矢先王，而告以成功，其意气之盛，可谓壮哉。及仇雠已灭，天下已定，一夫夜呼，乱者四应，仑皇东出，未见贼而士卒离散，君臣相顾，不知所归。,使其妻织组。
109,阻,79,至于夏水襄陵，沿溯阻绝。,阻而鼓之，不亦可乎？
110,阻,79,阻而鼓之，不亦可乎？,至于夏水襄陵，沿溯阻绝。
111,阻,80,黎民阻饥。,公曰：君子不重伤，不禽二毛。古之为军也，不以阻隘也。寡人虽亡国之余，不鼓不成列。
112,阻,80,公曰：君子不重伤，不禽二毛。古之为军也，不以阻隘也。寡人虽亡国之余，不鼓不成列。,黎民阻饥。
113,阻,82,古之为军也，不以阻隘也。,若跨荆、益，保其险阻。
114,阻,82,若跨荆、益，保其险阻。,古之为军也，不以阻隘也。
115,族,86,族秦者秦也，非天下也。,灭六国者六国也，非秦也。族秦者秦也，非天下也。嗟乎。
116,族,86,族秦者秦也，非天下也。,是时秦意未欲与赵绝耳。令秦王怒，而僇相如于市，武安君十万众压邯郸，而责璧与信，一胜而相如族，再胜而璧终入秦矣。吾故曰：蔺相如之获全于璧也，天也。
117,族,86,有知天一者，欲释之，天一曰：若以我畏死也。我不死，祸且族矣。遇佥事公于营门，公目之曰：文石，女有老母在，不可死。,族秦者秦也，非天下也。
118,族,86,有知天一者，欲释之，天一曰：若以我畏死也。我不死，祸且族矣。遇佥事公于营门，公目之曰：文石，女有老母在，不可死。,灭六国者六国也，非秦也。族秦者秦也，非天下也。嗟乎。
119,族,86,是时秦意未欲与赵绝耳。令秦王怒，而僇相如于市，武安君十万众压邯郸，而责璧与信，一胜而相如族，再胜而璧终入秦矣。吾故曰：蔺相如之获全于璧也，天也。,有知天一者，欲释之，天一曰：若以我畏死也。我不死，祸且族矣。遇佥事公于营门，公目之曰：文石，女有老母在，不可死。
120,族,86,是时秦意未欲与赵绝耳。令秦王怒，而僇相如于市，武安君十万众压邯郸，而责璧与信，一胜而相如族，再胜而璧终入秦矣。吾故曰：蔺相如之获全于璧也，天也。,族秦者秦也，非天下也。
121,族,86,是时秦意未欲与赵绝耳。令秦王怒，而僇相如于市，武安君十万众压邯郸，而责璧与信，一胜而相如族，再胜而璧终入秦矣。吾故曰：蔺相如之获全于璧也，天也。,灭六国者六国也，非秦也。族秦者秦也，非天下也。嗟乎。
122,族,86,灭六国者六国也，非秦也。族秦者秦也，非天下也。嗟乎。,是时秦意未欲与赵绝耳。令秦王怒，而僇相如于市，武安君十万众压邯郸，而责璧与信，一胜而相如族，再胜而璧终入秦矣。吾故曰：蔺相如之获全于璧也，天也。
123,族,86,灭六国者六国也，非秦也。族秦者秦也，非天下也。嗟乎。,有知天一者，欲释之，天一曰：若以我畏死也。我不死，祸且族矣。遇佥事公于营门，公目之曰：文石，女有老母在，不可死。
124,族,87,族庖月更刀，折也。,良庖岁更刀，割也。族庖月更刀，折也。今臣之刀十九年矣，所解数千牛矣，而刀刃若新发于硎。
125,族,87,良庖岁更刀，割也。族庖月更刀，折也。今臣之刀十九年矣，所解数千牛矣，而刀刃若新发于硎。,族庖月更刀，折也。
126,族,89,士大夫之族，曰师曰弟子云者。,万物百族。
127,族,89,万物百族。,士大夫之族，曰师曰弟子云者。
128,族,90,山东豪俊，遂并起而亡秦族矣。,美哉，奂焉。歌于斯，哭于斯，聚国族于斯。文子曰：武也，得歌于斯，哭于斯，聚国族于斯，是全要领以从先大夫于九京也北面再拜稽首。
129,族,90,美哉，奂焉。歌于斯，哭于斯，聚国族于斯。文子曰：武也，得歌于斯，哭于斯，聚国族于斯，是全要领以从先大夫于九京也北面再拜稽首。,山东豪俊，遂并起而亡秦族矣。
130,族,91,每至于族，吾见其难为，怵然为戒。,以无厚入有间，恢恢乎其于游刃必有余地矣，是以十九年而刀刃若新发于硎。虽然，每至于族，吾见其难为，怵然为戒，视为止，行为迟。动刀甚微，謋然已解，如土委地。
131,族,91,以无厚入有间，恢恢乎其于游刃必有余地矣，是以十九年而刀刃若新发于硎。虽然，每至于族，吾见其难为，怵然为戒，视为止，行为迟。动刀甚微，謋然已解，如土委地。,每至于族，吾见其难为，怵然为戒。
132,卒,92,卒相与欢，为刎颈之交。,君本以文章入翰林有声，而忽摈外。及为知县，著才矣，而仕卒不进。自陕归，年甫四十，遂绝意仕宦，尽其才以为文辞歌诗。
133,卒,92,卒相与欢，为刎颈之交。,蚤起，施从良人之所之，遍国中无与立谈者。卒之东郭墦间，之祭者乞其余。不足，又顾而之他。
134,卒,92,然今卒困于此，此天之亡我，非战之罪也。,而母婢也。’卒为天下笑。故生则朝周，死则叱之，诚不忍其求也。
135,卒,92,然今卒困于此，此天之亡我，非战之罪也。,卒相与欢，为刎颈之交。
136,卒,92,然今卒困于此，此天之亡我，非战之罪也。,伯牙所念，钟子期必得之。伯牙游于泰山之阴，卒逢暴雨，止于岩下。心悲，乃援琴而鼓之。
137,卒,92,伯牙所念，钟子期必得之。伯牙游于泰山之阴，卒逢暴雨，止于岩下。心悲，乃援琴而鼓之。,多获生口。超既破番辰，欲进攻龟兹，以乌孙兵强，宜因其力，乃上言：乌孙大国，控弦十万，故武帝妻以公主，至孝宣皇帝卒得其用。今可遣使招慰，与共合力。
138,卒,92,伯牙所念，钟子期必得之。伯牙游于泰山之阴，卒逢暴雨，止于岩下。心悲，乃援琴而鼓之。,其受之天也，贤于材人远矣。卒之为众人，则其受于人者不至也。彼其受之天也，如此其贤也，不受之人，且为众人。
139,卒,92,伯牙所念，钟子期必得之。伯牙游于泰山之阴，卒逢暴雨，止于岩下。心悲，乃援琴而鼓之。,吾又不知何日死，可以见汝。而死后之有知无知，与得见不得见，又卒难明也。然则抱此无涯之憾，天乎人乎。
140,卒,92,多获生口。超既破番辰，欲进攻龟兹，以乌孙兵强，宜因其力，乃上言：乌孙大国，控弦十万，故武帝妻以公主，至孝宣皇帝卒得其用。今可遣使招慰，与共合力。,屏弃而不用，其与昏与庸无以异也。圣人之道，卒于鲁也传之。然则昏庸聪敏之用，岂有常哉。
141,卒,92,多获生口。超既破番辰，欲进攻龟兹，以乌孙兵强，宜因其力，乃上言：乌孙大国，控弦十万，故武帝妻以公主，至孝宣皇帝卒得其用。今可遣使招慰，与共合力。,葬虚丘。事我而不卒，命也夫。婢初媵时，年十岁，垂双鬟，曳深绿布裳。
142,卒,92,多获生口。超既破番辰，欲进攻龟兹，以乌孙兵强，宜因其力，乃上言：乌孙大国，控弦十万，故武帝妻以公主，至孝宣皇帝卒得其用。今可遣使招慰，与共合力。,遭遇时变，以获爵位。终非其任，卒与祸会。足下哀其愚，蒙赐书教督以所不及，殷勤甚厚。
